trait	collection_date	latitude	longitude
39-1-PCS	2019-05-20	697136.666823519	582077.009043915
39-2-PCS	2019-05-14	697136.666823519	582077.009043915
40-1-PCS	2019-05-16	693587.803249979	581459.586365138
42-3-POO	2019-05-17	701242.706133708	578756.92067455
44-1-PTL	2019-06-05	687593.692058182	582554.648619307
45-1-POO	2019-05-17	678586.804207296	556614.134824526
45-2-POO	2019-05-24	678586.804207296	556614.134824526
45-3-POO	2019-05-17	678586.804207296	556614.134824526
47-1-POO	2019-05-27	669457.540667768	560360.626819815
48-1-POO	2019-05-22	694796.512200304	582023.623055648
49-4-PTS	2019-05-21	670479.909791485	579073.315740874
50-1-PCS	2019-05-21	697125.306868886	582181.282995788
50-2-PCS	2019-05-21	697125.306868886	582181.282995788
51-2-POO	2019-05-26	676349.490769968	552319.692244621
52-2-POO	2019-05-24	689068.985106332	563616.531142308
54-1-POO	2019-05-26	703261.071485193	572173.925946886
56-1-POO	2019-05-27	691798.464170557	576049.695807246
56-7-POO	2019-06-03	691798.464170557	576049.695807246
56-8-POO	2019-06-03	691798.464170557	576049.695807246
57-11-PCS	2019-06-06	668796.931675009	554900.875186744
58-1-PCS	2019-05-29	693706.120438445	575503.789707841
60-1-POO	2019-06-04	678974.957858316	548586.602345092
62-1-POO	2019-06-03	669930.633058702	580312.727243454
63-1-POO	2019-06-03	681153.268778008	595829.101962465
64-1-PCS	2019-06-03	698116.482488298	579131.74267803
65-2-PCS	2019-06-01	676456.593915572	561001.596707569
66-1-PCS	2019-06-04	696154.836435061	566898.061603507
66-2-PCS	2019-06-13	696154.836435061	566898.061603507
67-4-PTS	2019-06-04	687834.706934268	572068.250809169
68-1-PCS	2019-06-04	564979.106710769	723390.637377163
69-2-POO	2019-06-06	693651.745241796	576767.883664302
70-1-PTS	2019-06-06	691704.523077576	577063.813127661
71-6-PCS	2019-06-07	675438.629085517	563124.179396888
71-7-PCS	2019-06-12	675438.629085517	563124.179396888
73-1-PTS	2019-06-12	693354.799153431	579576.439394821
73-2-PCS	2019-06-13	693354.799153431	579576.439394821
78-1-PCS	2019-06-28	665115.862581967	563870.747361663
80-3-PCS	2019-07-11	697487.572784908	567685.588669009
2-1-iPTL	2019-04-17	692218.181017508	584075.749394926
4-1-iPTL	2019-04-17	672779.432521283	567170.036677044
6-1-iPTL	2019-04-23	690323.015090769	582534.87863488
7-1-iBOW	2019-04-21	679916.129871398	575689.987866854
12-1-iBOW	2019-04-30	695798.99588328	571860.750514292
13-4-iBOW	2019-05-02	697506.937028237	572831.548076106
14-1-iBOW	2019-05-02	687320.707709215	574632.375390298
15-1-iBRA	2019-05-03	668896.657939802	559789.440047004
57-14-iPCS	2019-05-29	668796.931675009	554900.875186744
72-1-iPOO	2019-06-12	678932.196353867	557841.587010239
75-1-iPCS	2019-06-22	683246.904088543	579041.124208601
77-1-iPOO	2019-06-24	693879.147581664	581436.736764521
81-1-iPOO	2019-07-09	669930.633058702	580312.727243454
