Update september 2019;Beslag San;itelnr.;Beslag Status Code;Huisvestingtype code;Beslag Diersoort Code;Beslag SubDiersoort Code;Beslag Diersubtype code lijst;Beslag Aantal;Beslag Productie Code;Beslag Productie;Beslag Productie Code Lijst;Beslag Huisvestingstype Code;Locatie beslag LCE Code;Beslag Inrichtingslocatie Geografisch X-coördinaat;Beslag Inrichtingslocatie Geografisch Y-coördinaat;Capaciteit beslag Capaciteit (aantal)
#N/A;BE10031182;-304;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164919;232817;270000
#N/A;BE10031182;-305;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164919;232817;270000
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;HERL;VL Broedeieren - vermeerdering - leg;HERL.HERM.HESL.HESM;FREE;ANT;165172;232333;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;HERL;VL Broedeieren - vermeerdering - leg;HERL.HERM.HESL.HESM;FREE;ANT;170367.6695;233710.2864;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;HERM;VV Broedeieren - vermeerdering - vlees;HERL.HERM.HESL.HESM;FREE;ANT;165172;232333;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;HERM;VV Broedeieren - vermeerdering - vlees;HERL.HERM.HESL.HESM;FREE;ANT;170367.6695;233710.2864;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;HESL;Broedeieren - selectie - leg;HERL.HERM.HESL.HESM;FREE;ANT;165172;232333;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;HESL;Broedeieren - selectie - leg;HERL.HERM.HESL.HESM;FREE;ANT;170367.6695;233710.2864;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;HESM;Broedeieren - selectie - vlees;HERL.HERM.HESL.HESM;FREE;ANT;165172;232333;
#N/A;BE10031247;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;HESM;Broedeieren - selectie - vlees;HERL.HERM.HESL.HESM;FREE;ANT;170367.6695;233710.2864;
#N/A;BE10031360;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;165310;233472;29000
#N/A;BE10031816;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;163595;230149;
#N/A;BE10032448;-301;ACT;PYPRO;PLTR;CHCK;CHCK;7;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;164744;232178;87500
#N/A;BE10032448;-302;ACT;PYPRO;PLTR;CHCK;CHCK;7;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;164744;232178;45500
#N/A;BE10032448;-303;ACT;PYPRO;PLTR;CHCK;CHCK;7;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;164744;232178;45500
#N/A;BE10032448;-304;ACT;PYPRO;PLTR;CHCK;CHCK;7;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;164744;232178;45500
#N/A;BE10032448;-305;ACT;PYPRO;PLTR;CHCK;CHCK;7;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;164744;232178;45500
#N/A;BE10032588;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;165494;233997;119800
#N/A;BE10032669;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;170612;212902;
#N/A;BE10036974;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;173770;203555;34000
#N/A;BE10040076;-301;ACT;PYPRO;PLTR;CHCK;CHCK;5;MEATP;PV Vleesproductie;MEATP;OUT;ANT;158311;199030;
#N/A;BE10041978;-301;STP;PYPRO;PLTR;TRK;TRK;3;MEATP;PV Vleesproductie;MEATP;;ANT;151734;195587;
#N/A;BE10044233;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;151978;189013;9600
#N/A;BE10047127;-301;ACT;PYDLR;PLTR;NOTRE;NOTRE;4;NOCSP;Doel zonder consumptie;NOCSP;NSUHS;ANT;167855;199492;
#N/A;BE10050012;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;142011;193041;
#N/A;BE10051116;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;170553;206786;
#N/A;BE10051231;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;172584;206690;
#N/A;BE10053186;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;167575;195324;
#N/A;BE10056975;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;174415;189641;
#N/A;BE10059591;-301;ACT;PYDLR;PLTR;NOTRE;NOTRE;3;NOCSP;Doel zonder consumptie;NOCSP;OUT;ANT;178968;199798;600
#N/A;BE10060085;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;177952;200903;
#N/A;BE10061121;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;200416;221117;144000
#N/A;BE10061121;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;200416;221117;144000
#N/A;BE10061121;-303;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;200416;221117;165600
#N/A;BE10061456;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;198735;227319;168000
#N/A;BE10061774;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;198622;224542;
#N/A;BE10061774;-301;STP;PYPRO;PLTR;CHCK;CHCK;1;MEATP;PV Vleesproductie;MEATP;;ANT;198509;224694;
#N/A;BE10062193;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;HERL;VL Broedeieren - vermeerdering - leg;HERL;NSUHS;ANT;197611;222806;
#N/A;BE10062193;-351;ACT;PYHAT;PLTR;CHCK;CHCK;3;DOLA;Broeierij - leg;DOLA;NSUHS;ANT;197611;222806;8812800
#N/A;BE10062711;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;186459;233008;
#N/A;BE10062711;-301;STP;PYPRO;PLTR;CHCK;CHCK;1;MEATP;PV Vleesproductie;MEATP;;ANT;185274.3701;233302.281;
#N/A;BE10063173;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;190221;237812;
#N/A;BE10063300;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;190221;237812;
#N/A;BE10063335;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;189089;236436;
#N/A;BE10063432;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;186162;233186;60000
#N/A;BE10063432;-302;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;186162;233186;60000
#N/A;BE10064919;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;210285;203884;22500
#N/A;BE10064919;-302;ACT;PYPRO;PLTR;CHCK;CHCK;3;BRM;VOV Opfok - vermeerdering - vlees;BRM;;ANT;210285;203884;22500
#N/A;BE10065710;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;208477;204216;21000
#N/A;BE10066611;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;181770;222967;
#N/A;BE10067081;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;181674;220318;15000
#N/A;BE10067357;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;182876;225631;164640
#N/A;BE10067357;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;182876;225631;90560
#N/A;BE10067357;-303;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;182876;225631;32800
#N/A;BE10067578;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;182713;224893;32800
#N/A;BE10067624;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;;ANT;181268;222490;
#N/A;BE10068663;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;201586;216328;114000
#N/A;BE10068663;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;;;38000
#N/A;BE10068663;-302;ACT;PYPRO;PLTR;CHCK;CHCK;3;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;201586;216328;115500
#N/A;BE10068663;-302;ACT;PYPRO;PLTR;CHCK;CHCK;1;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;;;38500
#N/A;BE10068981;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;201632;215623;
#N/A;BE10069139;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;200533;215242;
#N/A;BE10069422;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;203093;214640;
#N/A;BE10070560;-301;ACT;PYPRO;PLTR;CHCK;CHCK;7;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;191338;205177;88200
#N/A;BE10070560;-302;ACT;PYPRO;PLTR;CHCK;CHCK;7;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;191338;205177;88200
#N/A;BE10070560;-303;ACT;PYPRO;PLTR;CHCK;CHCK;7;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;191338;205177;131600
#N/A;BE10070560;-304;ACT;PYPRO;PLTR;CHCK;CHCK;7;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;191338;205177;87500
#N/A;BE10070560;-305;ACT;PYPRO;PLTR;CHCK;CHCK;7;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;191338;205177;129500
#N/A;BE10071389;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;HERL;VL Broedeieren - vermeerdering - leg;HERL.HERM;FREE;ANT;191901;211461;
#N/A;BE10071389;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;HERM;VV Broedeieren - vermeerdering - vlees;HERL.HERM;FREE;ANT;191901;211461;
#N/A;BE10076143;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;189535;204124;92000
#N/A;BE10076143;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;189535;204124;78000
#N/A;BE10076143;-303;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;189535;204124;104000
#N/A;BE10077298;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;OUT;ANT;196306;206400;
#N/A;BE10077735;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;183344;218881;54000
#N/A;BE10078588;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;178629;205926;
#N/A;BE10078626;-301;ACT;PYLCP;PLTR;CHCK;CHCK;8;CELAY;PE Consumptie-eieren - legbedrijf;MEATP.CELAY;OUT;ANT;175957;211063;800
#N/A;BE10078626;-301;ACT;PYLCP;PLTR;CHCK;CHCK;8;MEATP;PV Vleesproductie;MEATP.CELAY;OUT;ANT;175957;211063;800
#N/A;BE10078626;-302;ACT;PYLCP;PLTR;PHST;PHST;8;MEATP;PV Vleesproductie;MEATP;OUT;ANT;175957;211063;160
#N/A;BE10078626;-303;ACT;PYLCP;PLTR;PGN;PGN;8;MEATP;PV Vleesproductie;MEATP;OUT;ANT;175957;211063;80
#N/A;BE10078626;-304;ACT;PYLCP;PLTR;DUCK;DUCK;8;MEATP;PV Vleesproductie;MEATP;OUT;ANT;175957;211063;80
#N/A;BE10078626;-305;ACT;PYLCP;PLTR;GFWL;GFWL;8;MEATP;PV Vleesproductie;MEATP;OUT;ANT;175957;211063;400
#N/A;BE10078758;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;174756;209510;
#N/A;BE10079363;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;179735;207112;
