proximity,human_mvt,transports,satscan
0.00091,0.01064,0.00297,0.05663
0.00071,0.01233,0.01095,0.04291
0.00047,0.00571,0.00063,0.02196
0.00056,0.00755,0.00596,0.03208
0.00076,0.00808,0.0068,0.0256
0.00059,0.00617,0.00277,0.02324
0.00132,0.01014,0.00842,0.06222
0.00037,0.00373,8e-05,0.02317
0.00123,0.00646,0.00435,0.04976
0.00112,0.00613,0.00395,0.05038
0.00144,0.00978,0.00689,0.0917
0.00055,0.0062,0.00436,0.02625
0.00075,0.00661,0.00302,0.04977
0.00081,0.0106,0.00576,0.04329
0.00039,0.01611,0.0025,0.02648
0.00085,0.0104,0.00918,0.05467
0.00133,0.01482,0.00607,0.07009
0.00092,0.01718,0.00637,0.03605
0.00058,0.02019,0.00829,0.02637
3e-04,0.01296,0.00517,0.0324
0.00146,0.0072,0.00569,0.08447
0.00074,0.00847,0.00608,0.03215
0.00104,0.00514,0.00537,0.03966
0.00082,0.01094,0.00362,0.04275
0.00017,0.00263,0.00033,0.01504
0.00078,0.00479,0.00354,0.03731
0.00105,0.0027,0.00502,0.03644
0.00094,0.01353,0.00424,0.03929
0.00066,0.01355,0.0031,0.03779
0.00015,0.00266,0.00034,0.01364
7e-04,0.01138,0.00112,0.03306
0.00099,0.0102,0.00148,0.05559
0.00088,0.00636,0.00239,0.04357
0.00061,0.01946,0.00592,0.03411
0.00103,0.01326,0.00464,0.06326
0.00157,0.00772,0.00599,0.0752
0.00056,0.00678,0.00109,0.04333
0.0012,0.01036,0.00536,0.05529
0.00023,0.01212,0.00401,0.01635
0.00041,0.01299,0.00409,0.02718
0.00146,0.01119,0.00645,0.071
0.00106,0.00563,0.00262,0.0474
0.00082,0.01647,0.00572,0.05321
6e-04,0.01283,0.00117,0.02558
0.00079,0.00451,0.00237,0.03756
0.00106,0.00825,0.00266,0.06674
0.00022,0.00386,6e-05,0.01869
0.00093,0.00498,0.01143,0.03606
0.00063,0.00795,0.00037,0.04027
0.00122,0.00719,0.00381,0.07524
0.00102,0.00523,0.00085,0.06558
0.00079,0.00661,0.00237,0.03717
0.001,0.00756,0.00861,0.05168
0.00108,0.00246,0.00671,0.04556
0.00114,0.01451,0.00185,0.06363
0.00024,0.01018,0.00115,0.01461
0.00104,0.00985,0.00181,0.07089
0.00122,0.01021,0.00073,0.08504
0.00042,0.00929,0.00366,0.02659
7e-04,0.00425,0.00651,0.04374
0.00109,0.01397,0.00308,0.05013
0.00047,0.01035,0.00285,0.02748
0.00101,0.00728,0.00609,0.03349
0.00128,0.01301,0.00882,0.05474
0.00114,0.00538,0.00828,0.04044
0.00131,0.01364,0.00751,0.06494
0.00042,0.00511,7e-05,0.02753
0.00052,0.00318,0.00429,0.02812
0.00079,0.00206,0.00468,0.03353
0.00085,0.00542,0.00276,0.05215
0.00099,0.00813,0.00399,0.04036
0.00055,0.00534,0.00924,0.01987
0.00067,0.00455,0.00019,0.04359
0.00119,0.00552,0.00289,0.05024
0.00085,0.01364,0.00226,0.04727
0.00119,0.01028,0.00463,0.0688
0.00089,0.0043,0.00235,0.05702
0.00106,0.00734,0.00477,0.04759
0,0.00722,0.00298,0.00477
0.00079,0.00793,0.00115,0.04137
0.00047,0.01398,0.00137,0.0222
0.00117,0.00961,0.00403,0.06628
0.00051,0.01711,0.00082,0.01715
0.00098,0.0175,0.00935,0.05356
0.0012,0.00645,0.00497,0.05435
0.00077,0.0047,0.00265,0.04325
0.00079,0.00665,0.004,0.04828
0.00083,0.00653,0.00016,0.03985
0.00038,0.00357,0.00084,0.02002
0.00069,0.00225,0.00181,0.03375
0.00086,0.0114,0.00065,0.0434
0.00104,0.00838,0.00602,0.04077
0.00027,0.00683,5e-05,0.01874
0.00089,0.0157,0.00543,0.04228
0.00021,0.01559,0.00509,0.01736
0.00122,0.00784,0.01077,0.03719
0.00124,0.00521,0.00244,0.0741
0.00112,0.00827,0.00316,0.06781
0.00039,0.00544,0.00274,0.02016
0.00054,0.00347,0.00234,0.03002
0.00116,0.01004,0.00498,0.06479
8e-05,0.01036,0.00341,0.00913
0,0.0066,0.00203,0.00444
0.00105,0.00202,0.00141,0.06738
0.00109,0.00401,0.00554,0.06139
0.00091,0.00325,0.00725,0.04007
0.00123,0.00525,0.00415,0.05529
0.00103,0.00892,0.00111,0.06875
0.00138,0.01057,0.00097,0.08819
0.00049,0.00802,8e-05,0.03707
0.00076,0.00576,0.00726,0.03341
0.00019,0.02337,0.00666,0.01737
0.00108,0.01322,0.00541,0.05287
0,0.00763,0.00392,0.00387
0.00062,0.00976,0.00934,0.02865
0.00089,0.01299,0.00194,0.04438
0.00031,0.00727,1e-05,0.02386
4e-04,0.01348,0.00207,0.02563
9e-04,0.01538,0.00184,0.05039
0.00074,0.01415,0.00571,0.05852
0.00047,0.00463,0.00094,0.01672
0.00067,0.01488,0.00485,0.04161
0.00082,0.01245,0.00693,0.04198
0.00077,0.0273,0.00397,0.03911
0.00123,0.00613,0.00551,0.05767
0.00054,0.0137,0.00304,0.02684
0.00095,0.01083,0.01114,0.0561
0.00095,0.01071,0.0027,0.06639
0.00067,0.00761,0.00097,0.04203
0.00066,0.00771,0.00256,0.03994
0.00145,0.01207,0.01145,0.0592
0.00098,0.00822,0.00851,0.04273
0.00088,0.00688,0.00431,0.04921
0.00098,0.00702,0.00651,0.0339
0.00038,0.01198,0.00532,0.01815
0.00108,0.01271,0.00944,0.04495
0.00055,0.01318,0.00577,0.01908
0.00118,0.0044,0.00901,0.04926
0.00062,0.01045,0.00932,0.03284
0.00131,0.00598,0.00463,0.07113
0.00069,0.00581,0.01103,0.02452
0.00083,0.0101,0.00324,0.05641
0.00094,0.00954,0.00685,0.04789
0.00063,0.01359,0.00341,0.02898
0.00094,0.00624,0.00774,0.04628
0.00085,0.0066,0.00226,0.04977
0.00118,0.00954,0.00139,0.08098
0.00021,0.00279,0.00024,0.01659
0.00066,0.02452,0.00283,0.05925
0.00152,0.01288,0.01043,0.06164
0.00065,0.00797,0.00473,0.03002
0.00076,0.01862,0.00394,0.05276
0.00027,0.01424,0.00523,0.01479
0.00096,0.01288,0.01287,0.06435
4e-04,0.00648,0.00788,0.02093
3e-04,0.01596,0.00218,0.03118
0.00111,0.01152,0.00567,0.04571
0.00095,0.00881,0.0037,0.05091
0.00057,0.01247,0.00711,0.02405
0.00041,0.01204,0.0069,0.01621
0.00092,0.00996,0.00461,0.04142
0.00107,0.00624,0.00443,0.03913
0.00143,0.01327,0.00555,0.09044
0.00103,0.01064,0.00548,0.05092
0,0.00831,0.00212,0.00408
1e-05,0.00669,0.00257,0.00644
0.00094,0.00631,0.0051,0.04683
0.00064,0.01439,0.00609,0.05237
0.00085,0.01278,0.00778,0.03087
0.00107,0.01073,0.00491,0.0591
0.00125,0.01376,0.00457,0.06244
0.00061,0.01786,0.00792,0.03358
0.00065,0.01125,0.00995,0.02903
0.00118,0.01554,0.007,0.06876
0.00079,0.01843,0.00501,0.04931
0.00066,0.0191,0.00703,0.03087
0.00062,0.00777,0.00586,0.03929
0.00086,0.00834,0.00608,0.03969
0.00109,0.01017,0.0024,0.06854
0.00115,0.0149,0.00544,0.05283
0.00132,0.00519,0.0019,0.06225
0.00084,0.00557,0.01,0.02182
0.00071,0.00878,0.00594,0.0413
0.00091,0.01155,0.00411,0.04191
0.00035,0.01884,0.00422,0.0215
9e-04,0.01536,0.00214,0.04567
0.00089,0.01601,0.00534,0.04452
0.00068,0.01006,0.00721,0.02783
0.00113,0.01089,0.00756,0.05718
7e-05,0.00934,0.00668,0.01115
0.00133,0.00451,0.01109,0.0517
0.00137,0.00971,0.00505,0.07324
0.00028,0.00843,0.00354,0.01243
0.00018,0.00484,6e-05,0.02064
0.00093,0.00831,0.0056,0.03958
0.00088,0.00607,0.00195,0.03549
0.00091,0.01191,0.00288,0.05086
0.00147,0.00752,0.00685,0.07225
0.00088,0.01263,0.00957,0.03557
0.00091,0.01364,0.00668,0.03355
0.0011,0.01664,0.00661,0.07095
0.00079,0.00796,0.00987,0.02871
0.00086,0.01295,0.00831,0.03453
0.00049,0.01178,0.00531,0.03393
0.00063,0.01839,0.0067,0.03763
0.00054,0.01123,0.00128,0.02272
0.00119,0.01694,0.0019,0.07076
0.00099,0.01295,0.00329,0.04922
0.00099,0.00914,0.00306,0.05565
0.00148,0.00859,0.00309,0.08241
0.00148,0.01559,0.00124,0.08995
0.00127,0.01154,0.00729,0.05383
0.00074,0.00983,0.00403,0.03687
0.00106,0.01346,0.00497,0.06408
0.00088,0.00876,0.00414,0.056
0.00094,0.01206,0.00324,0.04856
0.00154,0.01036,0.00267,0.08914
0.00018,8e-05,0.00338,0.0078
0.00071,0.00567,9e-05,0.04618
0.00118,0.00478,0.00338,0.06665
0.00037,0.00574,0,0.02987
0.00059,0.01366,0.00845,0.05596
0.00037,0.01366,0.00305,0.03351
0.00092,0.00517,0.00431,0.03568
0.00103,0.00986,0.00407,0.06687
0.00085,0.00477,0.00539,0.03884
0.00155,0.01006,0.00501,0.07499
0.00142,0.00956,0.00592,0.06404
0.00032,0.01491,0.00692,0.0225
1e-05,0.01048,0.00552,0.00427
0.00134,0.00956,0.0118,0.06309
0.00144,0.01501,0.00769,0.08103
0.00062,0.01101,0.00412,0.03436
0.00107,0.00855,0.0055,0.03329
0.00079,0.01021,0.00629,0.0418
0.00098,0.02159,0.00752,0.07278
0.00047,0.00874,0.00687,0.02945
0.00081,0.00787,0.01196,0.02643
0.00122,0.01527,0.00478,0.05239
0.00116,0.01181,0.01058,0.07332
0.00064,0.00744,0.00695,0.02891
0.00087,0.01315,0.01107,0.03613
0.00027,0.00387,0,0.02122
0.00014,0.01394,0.01052,0.01275
0.00012,0.01335,0.00651,0.01626
0.00033,0.0129,0.00165,0.03015
0.00088,0.00885,0.00137,0.03555
0.00039,0.01435,0.00567,0.01163
0.00081,0.01389,0.00217,0.03956
0.00032,0.01067,0.006,0.01201
0.00128,0.0081,0.00594,0.06311
0.00113,0.00522,0.00678,0.04987
0.00104,0.01315,0.0077,0.06446
0.00106,0.00923,0.00972,0.04636
0.00072,0.01001,0.00327,0.03912
0.00126,0.01235,0.00513,0.06198
0.00043,0.01024,0.00325,0.01473
0.00085,0.00927,0.00318,0.03733
0.00105,0.01153,0.00427,0.06245
0.00017,0.00837,0.00435,0.0214
0.00087,0.01385,0.00653,0.04163
0.00107,0.00863,0.00297,0.06572
0.0012,0.01756,0.00435,0.05532
0.00129,0.01201,0.00437,0.07036
0.00056,0.00998,0.00371,0.0306
0.00073,0.01518,0.00353,0.05027
0.00113,0.0082,0.01234,0.05643
0.00016,0.01892,0.00851,0.01235
0.00105,0.00603,0.00227,0.07185
0.00046,0.01127,0.00221,0.02223
0.00052,0.00676,0.00469,0.03845
0.00152,0.00635,0.00754,0.07177
0.00131,0.01118,0.00187,0.08433
0.00065,0.01145,0.00194,0.0295
0.00125,0.0157,0.00312,0.06428
0.00014,0.01318,0.00502,0.01557
9e-05,0.0117,0.00453,0.01376
0.00092,0.01486,0.00559,0.04143
0.00095,0.00937,0.00085,0.05566
0.00083,0.00589,0.00043,0.05845
0.00026,0.01641,0.0048,0.01502
0.00109,0.01619,0.00154,0.05555
0.00116,0.01248,0.00847,0.07237
0.00125,0.00315,0.00623,0.06053
0.00117,0.00848,0.00706,0.06012
0.00128,0.01134,0.00588,0.05966
0.00099,0.01015,0.00762,0.03544
0.00115,0.01053,0.00674,0.05262
7e-04,0.00645,0.00731,0.04259
0.00041,0.00865,0.00836,0.02519
0.0011,0.00722,0.00742,0.0436
0.00046,0.01418,0.00413,0.01907
0.00053,0.00778,0.00064,0.03296
0.00083,0.00918,0.00275,0.03397
0.00063,0.01985,0.00529,0.04113
0.00085,0.01084,0.00454,0.04327
0.00071,0.01192,0.00439,0.04016
0.00049,0.01549,0.003,0.04277
0.00047,0.00956,0.00191,0.02135
0.00142,0.00851,0.01017,0.0594
0.00031,0.00858,0.00119,0.03179
0.00047,0.01287,0.00511,0.03007
0.00098,0.0045,0.00568,0.04089
0.00105,0.0082,0.00594,0.05988
0.00065,0.009,0.0022,0.03066
0,0.00986,0.0025,0.0023
0.00064,0.00516,0.00593,0.03497
0.00055,0.00831,0.0076,0.03388
0.00039,0.00488,0.00559,0.02433
0.00132,0.00556,0.00291,0.08119
0.00077,0.00339,0.0024,0.04057
0.00097,0.01307,0.00793,0.04995
0.00113,0.00955,0.00702,0.06048
0.00104,0.0067,0.00526,0.04617
0.00108,0.00939,0.00958,0.04721
0.00083,0.01732,0.00477,0.03035
8e-04,0.01097,0.0045,0.03849
0.00103,0.01206,0.01589,0.04406
0.00116,0.01282,0.00084,0.0705
0.00071,0.01879,0.00605,0.04672
0.00063,0.01655,0.0069,0.02762
0.00027,0.01824,0.00642,0.01537
0.00109,0.00958,0.00985,0.03547
0.00093,0.01178,0.00547,0.04659
0.00169,0.01372,0.00742,0.10151
0.00073,0.00962,0.00289,0.04269
0.00074,0.01867,0.00858,0.0256
0.00094,0.00677,0.00201,0.05867
0.00083,0.0212,0.00182,0.04915
0.00068,0.01199,0.00711,0.02586
0.00062,0.01043,0.00414,0.02989
0.00103,0.00859,0.0082,0.05096
0.00137,0.01132,0.00568,0.07446
0.00017,0.01772,0.00574,0.01439
0.00066,0.00857,0.00352,0.02791
0.00047,0.00878,0.00476,0.02813
0.00092,0.00667,0.00653,0.05005
0.00082,0.00572,0.00436,0.0327
0.00083,0.00493,0.00287,0.03246
0.00072,0.00595,0.00282,0.04491
7e-04,0.0089,0.00487,0.04666
0.0015,0.00955,0.00524,0.08895
8e-05,0.01216,0.00743,0.00899
0.00091,0.01201,0.00283,0.04598
0.00159,0.00579,0.00245,0.09525
0.00098,0.01047,0.00558,0.05566
0.00023,0.01065,0.00264,0.02913
0.00018,0.00267,0.00032,0.01605
0.00112,0.00766,0.00668,0.04586
0.00011,0.01122,0.00678,0.01275
6e-04,0.01043,0.00352,0.03851
0.00078,0.00856,0.00789,0.03332
0.00031,0.00661,0.00847,0.03327
0.00018,0.00763,0.00493,0.01636
0.00058,0.0196,0.01035,0.03513
0.00081,0.00399,0.01163,0.02914
0.00113,0.01717,0.00794,0.06877
0.00091,0.01356,0.00624,0.05478
0.00106,0.00558,0.00601,0.04971
4e-04,0.01147,0.00436,0.03944
0.001,0.00586,0.00748,0.05572
0.00109,0.00327,0.0071,0.04501
0.00042,0.0104,0.00355,0.02259
0.00104,0.00521,0.00749,0.05328
0.00079,0.01926,0.00795,0.03565
0.00073,0.00467,0.0032,0.03299
0.00029,0.01259,0.00674,0.02224
0.00105,0.00577,0.00538,0.07847
0.00055,0.01301,0.00308,0.02748
7e-04,0.01969,0.0075,0.03041
0.00154,0.0135,0.00986,0.0786
9e-04,0.01914,0.00564,0.04752
0.00047,0.00351,0.00161,0.01706
0.00073,0.0095,0.0043,0.0462
0.00119,0.00712,0.00179,0.0844
0.00127,0.00637,0.00411,0.07702
8e-04,0.01439,0.00954,0.03728
0.00102,0.0085,0.00932,0.04649
0.00087,0.00808,0.00405,0.04493
0.00044,0.0175,0.00627,0.02692
0.00113,0.00746,0.00228,0.06899
0.00056,0.01007,0.00456,0.02806
0.00034,0.00638,0.00485,0.015
0.00108,0.01275,0.00433,0.05758
0.00054,0.01514,0.0072,0.03121
0.00054,0.00548,0.00106,0.0338
0.00061,0.00687,0.00205,0.0262
0.00052,0.01435,0.0051,0.02439
0.00097,0.01396,0.00658,0.05429
0.00037,0.01519,0.00557,0.02175
0.00046,0.00568,0.00353,0.03585
2e-04,0.01316,0.00518,0.02325
0.00157,0.01082,0.0089,0.0831
0.00059,0.01041,0.00566,0.02711
0.00075,0.00232,0.00176,0.05181
0.00018,0.0208,0.00696,0.01801
0.00011,0.00218,0.00041,0.01109
0.00094,0.02571,0.00417,0.05001
0.00067,0.00807,0.00823,0.04175
0.00085,0.00823,0.00486,0.03918
0.00076,0.00343,0.00553,0.03351
0.00036,0.00757,0.00597,0.0105
0.00072,0.00581,0.00826,0.0277
0.00087,0.00763,0.00801,0.02812
0.00056,0.00965,0.00283,0.03183
0.00064,0.01591,0.00274,0.03904
0.00051,0.01353,0.0036,0.03842
0.00045,0.00875,0.00413,0.03687
0.00019,0.00803,0.00496,0.02265
0.00033,0.01451,0.00556,0.02835
0.00073,0.01146,0.00103,0.04796
0.00087,0.00597,0.00546,0.04278
0.00034,0.01943,0.00777,0.01573
0.00065,0.01557,0.00355,0.03289
4e-04,0.00777,0.00011,0.03249
0.00051,0.00963,0.00597,0.03342
0.00081,0.00671,0.00198,0.0414
0.00038,0.01361,0.00284,0.02198
0.00075,0.00319,0.00375,0.0454
0.00108,0.01434,0.00231,0.05019
0.00053,0.01078,0.00513,0.04444
0.00067,0.01327,0.00173,0.04885
0.00063,0.01025,0.00593,0.04428
0.00062,0.01409,0.01283,0.04074
1e-05,0.01483,0.00537,0.00898
0.00083,0.00501,0.00632,0.03898
0.00126,0.0061,0.00183,0.06754
9e-04,0.01219,0.00555,0.03727
0.00112,0.00819,0.00426,0.05521
0.00118,0.00536,0.01138,0.04994
0.00113,0.01198,0.00483,0.06011
0.00142,0.0205,0.00327,0.07235
7e-04,0.00857,0.00468,0.04025
8e-04,0.01601,0.00445,0.04648
9e-04,0.01062,0.00473,0.04243
0.00019,0.02502,0.00818,0.01025
0.00067,0.01656,0.01113,0.04596
9e-04,0.01485,0.00708,0.06901
0.00152,0.00953,0.00691,0.08415
0.00058,0.01182,0.00583,0.02411
0.00094,0.0137,0.00925,0.05089
8e-04,0.00756,0.0035,0.03699
0.00085,0.01339,0.00543,0.05001
8e-04,0.00894,0.00545,0.03915
0.00117,0.01108,0.00374,0.06209
0.00065,0.01187,0.00624,0.03032
0.00015,0.01591,0.00644,0.01636
0.00065,0.01762,0.00528,0.03898
0.00126,0.00807,0.00644,0.06021
0.00072,0.00561,0.00525,0.02989
0.00026,0.00467,1e-05,0.02086
0.00101,0.0132,0.00865,0.0367
0.00066,0.01501,0.00422,0.03435
0.00038,0.01036,0.00365,0.02137
0.00065,0.01051,0.00721,0.02858
0.00179,0.02232,0.00458,0.10617
0.00033,0.01836,0.00557,0.02934
2e-05,0.00865,0.00635,0.00267
0.00066,0.00635,0.00175,0.03436
0.00053,0.01289,0.00707,0.02318
0.00015,0.0027,0.00038,0.01331
0.00184,0.00795,0.00414,0.10174
0.00092,0.00309,0.00507,0.04792
0.00088,0.01064,0.00744,0.04223
0.00058,0.01469,0.00919,0.03434
0.00081,0.00989,0.00378,0.03298
0.00074,0.00371,0.00231,0.02536
0.00081,0.00885,0.00818,0.02659
5e-05,0.02118,0.00224,0.00976
0.00095,0.01015,0.00442,0.0346
0.0013,0.00318,0.0026,0.06111
0.00055,0.01524,0.00399,0.03342
0.00085,0.00702,0.00319,0.044
0.00055,0.00543,0.00614,0.02083
0.00058,0.00568,0.00511,0.02765
0.00047,0.00512,0.00269,0.02301
6e-04,0.01041,0.00709,0.02271
0.00093,0.00512,0.00397,0.03878
0.00083,0.01055,0.00317,0.05004
0.00042,0.00928,0.00348,0.02846
0.00122,0.01377,0.00759,0.05949
0.00096,0.01073,0.00277,0.05422
0.00067,0.00687,0.00056,0.03656
6e-04,0.00685,0.00341,0.03993
8e-04,0.01587,0.00409,0.03156
0.00113,0.00455,0.00292,0.04531
0.00061,0.01112,0.00803,0.03125
0.00118,0.01059,0.00401,0.06274
0.00048,0.00779,0.0066,0.0319
0.00062,0.00996,0.00557,0.02723
0.00085,0.01203,0.00846,0.049
0.00068,0.00862,0.00062,0.05247
0.00088,0.01279,0.00815,0.04653
0.00082,0.00507,0.00213,0.04652
0.00132,0.01007,0.005,0.06143
0.00071,0.00627,0.00432,0.04788
0.00075,0.00681,0.00083,0.05472
7e-04,0.00689,0.00706,0.03219
0.00081,0.00998,0.01032,0.06184
9e-04,0.01577,0.00609,0.03951
0.00072,0.00788,0.00143,0.0366
0.00094,0.00531,0.00394,0.03691
0.00049,0.02254,0.00162,0.02476
0.00081,0.01047,0.00472,0.03333
0.00078,0.00881,0.00132,0.06026
0.00026,0.00395,0.00283,0.02507
0.00035,0.01116,0.00522,0.02959
0.00042,0.00185,0.00114,0.0245
8e-04,0.01283,0.00422,0.02961
0.00089,0.01198,0.0063,0.03378
9e-04,0.00379,0.00591,0.05367
0.00075,0.00689,0.00361,0.03221
0.00063,0.00956,0.0038,0.03067
0.00078,0.0106,0.00494,0.03409
6e-04,0.00614,0.00345,0.01734
2e-04,0.01311,0.00593,0.01004
0.00111,0.00524,0.00348,0.05413
0.00052,0.01536,0.00385,0.0404
0.00136,0.01324,0.00416,0.09512
0.00099,0.00973,0.00486,0.05166
0.00059,0.01514,0.0022,0.03125
0.00085,0.00775,0.00413,0.03662
0.00045,0.006,0.00023,0.03545
0.00087,0.00883,0.00936,0.05619
0.00064,0.00807,0.00565,0.02966
0.00111,0.0093,0.00067,0.07893
0.0011,0.00371,0.00188,0.06193
0.00075,0.0064,0.00782,0.03119
0.00066,0.01115,0.00859,0.03695
0.00045,0.00534,0.00765,0.02079
0.00067,0.01384,0.00715,0.03274
0.00162,0.00597,0.00782,0.08402
0.00044,0.00803,0.00629,0.02268
0.00081,0.01156,0.00236,0.04258
0.00068,0.00772,0.00494,0.04355
0.00019,0.00339,0.00021,0.01659
0.00123,0.00583,0.00478,0.06815
0.00109,0.0081,0.00593,0.05222
4e-04,0.00392,0.00664,0.02055
0.00106,0.0051,0.00821,0.04621
5e-04,0.00117,0.00231,0.02268
0.00141,0.00879,0.00361,0.07547
0.00121,0.00309,0.00273,0.06636
0.00061,0.00364,0.003,0.02741
0.00079,0.00899,0.00353,0.04319
3e-04,0.00946,0.00427,0.01349
0.00141,0.00877,0.00657,0.08131
0.00094,0.00304,0.0046,0.04935
0.00101,0.00303,0.0021,0.06746
0.00011,0.0104,0.004,0.02008
0.00068,0.00255,0.00073,0.0454
8e-04,0.00622,0.00398,0.0393
6e-04,0.01115,0.00014,0.02791
0.00029,0.00681,7e-04,0.02677
0.0015,0.01083,0.00385,0.07482
0.00049,0.01444,0.00507,0.03709
0.00066,0.0045,0.00595,0.02586
0.00113,0.00773,0.00522,0.05544
6e-04,0.00633,0.0051,0.03512
0.00098,0.01114,0.00481,0.06289
0.00084,0.01712,0.00336,0.04241
0.00027,0.01312,0.00625,0.02552
0.00049,0.01348,0.0044,0.04369
0.00081,0.02084,0.00575,0.03534
0.00056,0.00429,0.00241,0.03075
6e-04,0.00288,0.00539,0.02099
0.00125,0.00447,0.00297,0.05983
0.00095,0.00267,0.00614,0.04377
0.00033,0.00322,7e-05,0.02473
0.00085,0.0071,0.00188,0.05369
0.00016,0.00215,0.00033,0.01432
0.00106,0.00201,0.00665,0.04926
0.00071,0.00498,0.00272,0.02954
0.00087,0.01083,0.00679,0.03801
0.00098,0.00488,0.00169,0.06193
3e-04,0.00705,0.00736,0.01465
0.00109,0.0054,0.00443,0.05392
0.00069,0.00596,0.00268,0.04189
0.00069,0.01441,0.00341,0.03334
0.00071,0.00645,0.00423,0.04875
0.00114,0.01372,0.0077,0.05569
0.00077,0.00329,0.00418,0.02273
0.00069,0.00991,0.00286,0.03639
0.00067,0.01087,0.00539,0.02303
0.0012,0.01241,0.00408,0.05381
9e-04,0.00843,0.00471,0.02516
0.00118,0.00727,0.00575,0.05813
0.00049,0.01109,0.00498,0.02717
0.00097,0.01061,0.00519,0.03998
0.00113,0.00418,0.00473,0.05016
0.00142,0.01307,0.00425,0.08437
0.00047,0.00642,0.00519,0.02872
0.0014,0.00596,0.00408,0.08763
0.00025,0.00365,0.00535,0.01452
0.00077,0.0104,0.00371,0.04079
0.00093,0.00933,0.00884,0.04472
0.00049,0.00859,0.0017,0.01828
0.00112,0.01703,9e-04,0.05496
0.00106,0.00908,0.0014,0.05248
3e-05,0.00965,0.00505,0.00628
0.00033,0.00756,0.00054,0.02129
0.00061,0.01106,0.0047,0.02363
0.00073,0.00494,0.00441,0.03347
0.00074,0.0075,0.00348,0.04333
0.00058,0.01522,0.00043,0.03062
0.00077,0.01155,0.00538,0.03341
0.00138,0.00925,0.00406,0.06936
0.00061,0.00982,0.00267,0.04171
0.00106,0.01026,0.00781,0.04245
0.00148,0.01703,0.00412,0.08264
0.00126,0.0064,0.00474,0.06559
0.00126,0.00699,0.00424,0.06702
0.00073,0.00772,0.00276,0.0465
0.001,0.00782,0.00818,0.03848
0.00042,0.0054,0.00558,0.0168
0.00061,0.00995,0.00711,0.03732
0.00085,0.00843,0.00596,0.0431
0.00132,0.01485,0.01024,0.07305
0.00113,0.01171,0.00286,0.07733
0.00072,0.01013,0.0038,0.03808
0.00116,0.01199,0.01134,0.04545
0.00119,0.01418,0.0073,0.04993
0.00064,0.00935,0.0065,0.03441
0.00121,0.01003,0.0064,0.07224
0.00094,0.01195,0.0105,0.05238
0.00106,0.00758,0.00645,0.05645
0.00108,0.00973,0.00865,0.06439
0.00108,0.00804,0.00406,0.06328
0.00044,0.01446,0.00725,0.02405
0.00131,0.01259,0.00939,0.05765
0.00074,0.0073,0.01012,0.01773
0.00022,0.01241,0.00602,0.01908
0.00117,0.00547,0.00432,0.05601
0.00077,0.02074,0.00059,0.05066
0.00059,0.00594,0.00343,0.03194
0.00124,0.00692,0.00575,0.074
0.00102,0.01293,0.00288,0.05647
