ID_herd;ID_farm;H3N1;Longitude;Latitude;Species;SubspeciesList;Outdoor;ProductionList;Capacity;Date_capacity
BE30082379-0302;BE30082379;55;3.40237;51.05377;Pluimvee;CHCK;No;BRM;9300;1/04/2019
BE31131861-0301;BE31131861;56;3.3203;51.03274;Pluimvee;CHCK;No;HERM;30000;1/04/2019
BE30660097-0301;BE30660097;57;3.09896;50.83826;Pluimvee;CHCK;No;HERM;10000;1/04/2019
BE30660097-0302;BE30660097;57;3.09896;50.83826;Pluimvee;CHCK;No;HERM;10000;1/04/2019
BE30660097-0303;BE30660097;57;3.09896;50.83826;Pluimvee;CHCK;No;HERM;10000;1/04/2019
BE30660097-0304;BE30660097;57;3.09896;50.83826;Pluimvee;CHCK;No;HERM;9999;1/04/2019
BE31136650-0301;BE31136650;58;3.31112;51.04424;Pluimvee;CHCK;No;CELAY;30800;1/04/2019
BE10162880-0301;BE10162880;59;4.668;51.32244;Pluimvee;CHCK;No;MEATP;80000;1/04/2019
BE31142553-0301;BE31142553;60;2.94624;50.91391;Pluimvee;CHCK;No;HERM;12168;1/04/2019
BE31142553-0302;BE31142553;60;2.94624;50.91391;Pluimvee;CHCK;No;HERM;12168;1/04/2019
BE31142553-0303;BE31142553;60;2.94624;50.91391;Pluimvee;CHCK;No;HERM;12168;1/04/2019
BE30071253-0301;BE30071253;61;3.13794;51.0131;Pluimvee;CHCK;No;MEATP;6100;1/04/2019
BE30071253-0302;BE30071253;61;3.13794;51.0131;Pluimvee;CHCK;No;MEATP;7500;1/04/2019
BE31141794-0301;BE31141794;62;3.36786;50.84209;Pluimvee;CHCK;No;CELAY;45000;1/04/2019
BE40233383-0301;BE40233383;63;3.59995;50.93882;Pluimvee;CHCK;No;HERL;20000;1/04/2019
BE40233081-0301;BE40233081;64;3.35408;51.08948;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE40233081-0302;BE40233081;64;3.35408;51.08948;Pluimvee;CHCK;No;HERM;8500;1/04/2019
BE40233081-0303;BE40233081;64;3.35408;51.08948;Pluimvee;CHCK;No;HERM;11500;1/04/2019
BE30692460-0301;BE30692460;65;3.10377;50.89174;Pluimvee;CHCK;No;CELAY;13466;1/04/2019
BE31142251-0301;BE31142251;66;3.18055;51.067;Pluimvee;CHCK;No;CELAY;77274;1/04/2019
BE31142251-0302;BE31142251;66;3.18055;51.067;Pluimvee;CHCK;No;CELAY;33925;1/04/2019
BE31142251-0303;BE31142251;66;3.18055;51.067;Pluimvee;CHCK;No;CELAY;33925;1/04/2019
BE31143487-0301;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;5000;1/04/2019
BE31143487-0302;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;4000;1/04/2019
BE31143487-0303;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;4500;1/04/2019
BE31143487-0304;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31143487-0305;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;6500;1/04/2019
BE31143487-0306;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31143487-0307;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;9000;1/04/2019
BE31143487-0351;BE31143487;67;3.24776;50.99057;Pluimvee;CHCK;No;HERM;367200;1/04/2019
BE80050079-0301;BE80050079;68;5.38742;49.89066;Pluimvee;CHCK;No;CELAY;22730;1/04/2019
BE30880429-0301;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4000;1/04/2019
BE30880429-0302;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4000;1/04/2019
BE30880429-0303;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4000;1/04/2019
BE30880429-0304;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;3800;1/04/2019
BE30880429-0305;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4200;1/04/2019
BE30880429-0306;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4000;1/04/2019
BE30880429-0307;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4000;1/04/2019
BE30880429-0308;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;13000;1/04/2019
BE30880429-0309;BE30880429;69;3.3246;51.04866;Pluimvee;CHCK;No;CELAY;4800;1/04/2019
BE30880445-0301;BE30880445;70;3.33018;51.02966;Pluimvee;CHCK;Yes;CELAY;9000;1/04/2019
BE31142464-0301;BE31142464;71;3.14564;50.87861;Pluimvee;CHCK;No;HERM;9400;1/04/2019
BE31142464-0302;BE31142464;71;3.14564;50.87861;Pluimvee;CHCK;No;HERM;9400;1/04/2019
BE31142464-0303;BE31142464;71;3.14564;50.87861;Pluimvee;CHCK;No;HERM;9400;1/04/2019
BE31142464-0304;BE31142464;71;3.14564;50.87861;Pluimvee;CHCK;No;HERM;9400;1/04/2019
BE31142464-0305;BE31142464;71;3.14564;50.87861;Pluimvee;CHCK;No;HERM;9400;1/04/2019
BE31144017-0301;BE31144017;72;3.05823;50.91352;Pluimvee;CHCK;No;BRM;12000;1/04/2019
BE31144017-0302;BE31144017;72;3.05823;50.91352;Pluimvee;CHCK;No;BRM;17712;1/04/2019
BE31144017-0303;BE31144017;72;3.05823;50.91352;Pluimvee;CHCK;No;BRM;22853;1/04/2019
BE31144017-0304;BE31144017;72;3.05823;50.91352;Pluimvee;CHCK;No;BRM;25560;1/04/2019
BE30080279-0301;BE30080279;74;3.3591;51.05114;Pluimvee;CHCK;No;BRM;11400;1/04/2019
BE30080279-0302;BE30080279;74;3.3591;51.05114;Pluimvee;CHCK;No;BRM;7300;1/04/2019
BE30080279-0303;BE30080279;74;3.3591;51.05114;Pluimvee;CHCK;No;BRM;7300;1/04/2019
BE30782273-0301;BE30782273;75;3.35556;50.95134;Pluimvee;CHCK;No;CELAY;59900;1/04/2019
BE30993894-0301;BE30993894;76;3.10752;50.84818;Pluimvee;CHCK;No;BRM;10500;1/04/2019
BE30993894-0302;BE30993894;76;3.10752;50.84818;Pluimvee;CHCK;No;BRM;10500;1/04/2019
BE30993894-0303;BE30993894;76;3.10752;50.84818;Pluimvee;CHCK;No;BRM;4000;1/04/2019
BE30993894-0304;BE30993894;76;3.10752;50.84818;Pluimvee;CHCK;No;BRM;5000;1/04/2019
BE30081933-0301;BE30081933;77;3.400091;51.054961;Pluimvee;CHCK;No;MEATP;52000;1/06/2019
BE30600337-0301;BE30600337;78;3.14762;50.79107;Pluimvee;CHCK;No;BRM;9000;1/04/2019
BE30600337-0302;BE30600337;78;3.14762;50.79107;Pluimvee;CHCK;No;BRM;20000;1/04/2019
BE30150315-0301;BE30150315;79;2.85352;50.96074;Pluimvee;TRK;No;MEATP;46000;1/04/2019
BE30150315-0302;BE30150315;79;2.85352;50.96074;Pluimvee;TRK;No;MEATP;9999;1/04/2019
BE30150315-0303;BE30150315;79;2.85352;50.96074;Pluimvee;TRK;No;MEATP;9999;1/04/2019
BE31144521-0301;BE31144521;80;3.19381;51.08154;Pluimvee;CHCK;No;BL;45000;1/04/2019
BE31144521-0302;BE31144521;80;3.19381;51.08154;Pluimvee;CHCK;No;BL;30000;1/04/2019
BE31144521-0303;BE31144521;80;3.19381;51.08154;Pluimvee;CHCK;No;BL;30000;1/04/2019
BE30741550-0301;BE30741550;81;3.37886;50.83619;Pluimvee;CHCK;No;HERM;5000;1/04/2019
BE30741550-0302;BE30741550;81;3.37886;50.83619;Pluimvee;CHCK;No;HERM;6000;1/04/2019
BE30741550-0303;BE30741550;81;3.37886;50.83619;Pluimvee;CHCK;No;HERM;6000;1/04/2019
BE30890327-0301;BE30890327;82;3.40187;51.02638;Pluimvee;CHCK;No;BRM;24000;1/04/2019
BE30890327-0302;BE30890327;82;3.40187;51.02638;Pluimvee;CHCK;No;BRM;7500;1/04/2019
BE30890327-0303;BE30890327;82;3.40187;51.02638;Pluimvee;CHCK;No;BRM;10000;1/04/2019
BE30890327-0304;BE30890327;82;3.40187;51.02638;Pluimvee;CHCK;No;BRM;8500;1/04/2019
BE30881336-0301;BE30881336;18a;3.30508;51.03403;Pluimvee;CHCK;No;HERM;7250;1/04/2019
BE30881336-0302;BE30881336;18a;3.30508;51.03403;Pluimvee;CHCK;No;HERM;7250;1/04/2019
BE30881336-0303;BE30881336;18a;3.30508;51.03403;Pluimvee;CHCK;No;HERM;17000;1/04/2019
BE30993827-0301;BE30993827;18b;3.30171;51.03731;Pluimvee;CHCK;No;HERM;7250;1/04/2019
BE30993827-0302;BE30993827;18b;3.30171;51.03731;Pluimvee;CHCK;No;HERM;7250;1/04/2019
BE30052771-0301;BE30052771;73a;3.24585;51.06055;Pluimvee;CHCK;No;BL;4999;1/04/2019
BE30050388-0301;BE30050388;73b;3.24784;51.05975;Pluimvee;CHCK;No;CELAY;18000;1/04/2019
BE30050388-0302;BE30050388;73b;3.24784;51.05975;Pluimvee;CHCK;No;CELAY;116000;1/04/2019
BE30050388-0303;BE30050388;73b;3.24784;51.05975;Pluimvee;CHCK;No;CELAY;116000;1/04/2019
BE80089412-0301;BE80089412;#N/A;5.61093;49.56416;Pluimvee;CHCK;Yes;CELAY;12000;1/04/2019
BE80136909-0301;BE80136909;#N/A;5.60547;49.56437;Pluimvee;CHCK;Yes;CELAY;3000;1/04/2019
BE80101307-0301;BE80101307;#N/A;5.48698;49.57715;Pluimvee;CHCK;NA;MEATP;9600;1/04/2019
BE80134515-0301;BE80134515;#N/A;5.836676779;49.58493669;Pluimvee;CHCK;Yes;CELAY;750;1/04/2019
BE80092111-0301;BE80092111;#N/A;5.52294;49.58648;Pluimvee;CHCK;NA;MEATP;200;1/04/2019
BE80092111-0302;BE80092111;#N/A;5.52294;49.58648;Pluimvee;CHCK;Yes;CELAY;800;1/04/2019
BE80124250-0301;BE80124250;#N/A;5.72811;49.59591;Pluimvee;CHCK;No;CELAY;3500;1/04/2019
BE80124250-0302;BE80124250;#N/A;5.72811;49.59591;Pluimvee;CHCK;No;CELAY;3000;1/04/2019
BE80152211-0301;BE80152211;#N/A;5.72625;49.59697;Pluimvee;CHCK;Yes;CELAY;3000;1/04/2019
BE80108972-0301;BE80108972;#N/A;5.66265;49.60656;Pluimvee;CHCK;NA;MEATP;3600;1/04/2019
BE80152645-0301;BE80152645;#N/A;5.80978;49.62328;Pluimvee;NOTRE;NA;NOCSP;1000;1/04/2019
BE80033379-0301;BE80033379;#N/A;5.89862;49.64419;Pluimvee;NOTRE;NA;NOCSP;500;1/04/2019
BE80116614-0301;BE80116614;#N/A;5.60997;49.6745;Pluimvee;CHCK;Yes;CELAY;9000;1/04/2019
BE80035479-0301;BE80035479;#N/A;5.2546;49.7037;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80035479-0302;BE80035479;#N/A;5.2546;49.7037;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80051423-0301;BE80051423;#N/A;5.45705;49.70664;Pluimvee;CHCK;NA;MEATP;4800;1/04/2019
BE80089625-0301;BE80089625;#N/A;5.28947;49.71624;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80089625-0302;BE80089625;#N/A;5.28947;49.71624;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80099701-0301;BE80099701;#N/A;5.75995;49.72362;Pluimvee;CHCK;NA;MEATP;600;1/04/2019
BE80032178-0301;BE80032178;#N/A;5.48777;49.80244;Pluimvee;CHCK;NA;MEATP;9600;1/04/2019
BE80153226-0301;BE80153226;#N/A;5.377124511;49.80744085;Pluimvee;CHCK;Yes;MEATP.CELAY;500;1/04/2019
BE80124331-0301;BE80124331;#N/A;5.42211;49.81457;Pluimvee;GFWL;Yes;MEATP;280;1/04/2019
BE80124331-0302;BE80124331;#N/A;5.42211;49.81457;Pluimvee;CHCK;NA;MEATP;2500;1/04/2019
BE80144170-0301;BE80144170;#N/A;5.5418;49.81725;Pluimvee;CHCK;NA;MEATP;40000;1/04/2019
BE80038699-0301;BE80038699;#N/A;5.3759;49.82431;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80038699-0302;BE80038699;#N/A;5.3759;49.82431;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80038699-0303;BE80038699;#N/A;5.3759;49.82431;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80152815-0301;BE80152815;#N/A;5.52398;49.83169;Pluimvee;CHCK;No;CELAY;75000;1/04/2019
BE80152815-0302;BE80152815;#N/A;5.52398;49.83169;Pluimvee;CHCK;No;CELAY;86500;1/04/2019
BE80086197-0301;BE80086197;#N/A;5.012172247;49.84251284;Pluimvee;CHCK;NA;MEATP;150;1/04/2019
BE80086197-0302;BE80086197;#N/A;5.012172247;49.84251284;Pluimvee;GFWL;NA;MEATP;25;1/04/2019
BE80086197-0303;BE80086197;#N/A;5.012172247;49.84251284;Pluimvee;TRK;NA;MEATP;25;1/04/2019
BE80138502-0301;BE80138502;#N/A;5.28542;49.85321;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80138502-0302;BE80138502;#N/A;5.28542;49.85321;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
BE80038370-0301;BE80038370;#N/A;5.37925;49.85493;Pluimvee;CHCK;NA;MEATP;200;1/04/2019
BE80148540-0301;BE80148540;#N/A;5.396834821;49.86126819;Pluimvee;CHCK;NA;MEATP;4800;1/04/2019
BE80148540-0302;BE80148540;#N/A;5.396834821;49.86126819;Pluimvee;CHCK;NA;MEATP;4800;1/04/2019
BE80148540-0303;BE80148540;#N/A;5.396834821;49.86126819;Pluimvee;CHCK;NA;MEATP;4800;1/04/2019
BE80152270-0301;BE80152270;#N/A;5.7136;49.86731;Pluimvee;CHCK;Yes;MEATP;4800;1/04/2019
