proximity,families,feed,hatcheries,rendac,veterinaries
0.31524,-0.06127,-0.06842,0.04769,0.0498,0.1216
0.38853,-0.01396,-0.01762,0.01065,0.1017,0.11235
0.37754,0.01355,-0.01751,0.02854,0.05275,0.08713
0.35853,-0.02056,-0.03431,-0.00638,0.06502,0.0783
0.46032,-0.05287,-0.0138,0.02125,0.07347,0.09189
0.20552,-0.01771,-0.00921,-0.00683,-0.00251,0.04629
0.37312,-0.09948,-0.01619,0.02222,0.15071,0.11537
0.29514,-0.02842,-0.02625,-0.0015,0.00549,0.07531
0.48822,-0.07843,-0.03655,0.03018,0.07563,0.12507
0.38036,-0.02315,-0.02189,0.05935,0.03277,0.08644
0.37342,-0.00088,-0.04982,0.03638,0.06941,0.06764
0.45217,0.01248,0.02203,0.03382,0.0816,0.06586
0.33132,-0.02888,-0.02523,0.00821,0.11152,0.07546
0.31931,-0.05069,-0.01569,0.02942,0.07108,0.11412
0.32272,0.10941,0.02043,0.00953,0.00108,0.03083
0.4814,-0.00754,-0.01328,0.00461,0.04459,0.09922
0.41554,-0.00351,0.01245,0.0038,0.05757,0.09241
0.34636,0.02015,-0.00062,0.01472,0.04593,0.08965
0.43903,-0.02901,-0.0298,0.01228,0.07893,0.05527
0.46557,0.02868,-0.04409,0.02978,0.05941,0.07855
0.37668,0.07079,-0.01024,0.01264,0.03848,0.02758
0.32105,0.00546,-0.01616,0.00047,0.10649,0.08812
0.3814,0.00471,-0.01028,0.04093,0.1168,0.10582
0.37155,-0.06868,-0.0431,0.04403,0.09761,0.10675
0.34219,0.01221,-0.02701,0.02291,0.12268,0.11013
0.2644,-0.01728,-0.01513,-0.00304,0.00348,0.04756
0.32124,-0.05327,-0.03756,-0.0083,0.09593,0.09243
0.31517,-0.05342,-0.03025,0.0277,0.06276,0.06539
0.375,-0.09817,0.01104,0.04302,0.08339,0.11577
0.3536,-0.00859,-0.02723,0.03249,0.0641,0.08349
0.39168,-0.02446,-0.01298,0.01023,0.09039,0.05383
0.31883,-0.058,-0.00706,0.01267,0.01788,0.06521
0.31212,-0.02214,-0.02467,-0.00218,0.06791,0.10484
0.39996,0.0272,-0.0246,0.00809,0.03021,0.06194
0.44223,0.01622,-0.01295,0.03425,0.0763,0.09873
0.35971,-0.00095,-0.01659,0.05251,0.04869,0.07676
0.38415,0.03664,-0.00126,0.01242,0.03807,0.06588
0.3842,-0.01924,-0.0067,0.00682,0.08805,0.10665
0.35343,0.00404,-0.0267,0.01122,0.02811,0.05984
0.37561,0.01225,-0.00825,0.03914,0.05674,0.11272
0.37388,-0.02271,-0.02678,0.01885,0.09949,0.1043
0.29652,0.1185,-0.01722,0.01578,0.03407,0.07618
0.4309,0.04567,-0.0236,0.02395,0.09066,0.06547
0.38108,-0.05306,-0.01987,0.03525,0.12191,0.09876
0.36137,0.03185,-0.00382,0.05462,0.05073,0.04934
0.43032,0.01128,0.00539,0.04243,0.08705,0.05374
0.44445,-0.03252,-0.055,0.0523,0.03309,0.10241
0.30494,0.02035,-0.05368,0.02588,0.02476,0.03539
0.31656,0.01923,-0.00966,-0.01124,0.0289,0.04169
0.29355,0.00379,-0.02666,-0.01099,0.0343,0.0885
0.24189,-0.0117,-0.02054,0.02078,0.10774,0.11434
0.22917,-0.01571,-0.02047,-0.00464,0.00074,0.06652
0.3189,-0.0029,-0.00298,0.05671,0.12715,0.12439
0.31753,0.07142,0.00676,0.04525,0.05381,0.02608
0.26257,-0.00238,-0.04094,0.01553,0.13557,0.10054
0.44094,-0.03428,1e-05,0.01088,0.06931,0.07756
0.45291,-0.02335,-0.00817,0.03472,0.06685,0.07035
0.38419,-0.01334,-0.03248,-0.00359,0.09645,0.08731
0.38118,-0.03166,-0.03166,0.02358,0.05726,0.06136
0.48129,-0.04022,-0.00749,0.06499,0.07829,0.08397
0.36871,0.09421,-0.01353,0.03638,0.03051,-0.00051
0.41706,-0.01007,-0.01715,0.01717,0.08595,0.06847
0.3193,-0.03131,-0.02427,0.0139,0.04599,0.06807
0.35805,0.02648,-0.00225,0.02714,0.0874,0.05297
0.27772,-0.05132,-0.04453,-0.00598,0.11907,0.11451
0.34126,-0.05726,-0.04415,0.0183,0.08234,0.09669
0.36641,-0.07168,-0.01994,0.02642,0.04283,0.10924
0.48774,-0.04278,-0.00791,0.04986,0.08251,0.07619
0.26978,-0.03351,-0.00795,-0.00606,0.00999,0.0761
0.40056,0.04558,0.02487,0.082,0.0868,0.01807
0.37536,0.09268,0.00052,0.04626,0.05028,0.0487
0.40963,-0.0561,-0.04707,0.02614,0.08221,0.10921
0.32276,-0.01308,-0.00535,0.04184,0.09957,0.07751
0.44186,0.04636,0.03263,0.04928,0.08372,0.06125
0.47046,0.01114,-0.01214,0.01998,0.04577,0.0777
0.22519,-0.0186,-0.01736,-0.00739,0.00455,0.06031
0.46488,0.09052,0.0173,0.03069,0.00592,0.02405
0.3623,-0.01374,-0.00563,0.00596,0.08751,0.13726
0.42948,-0.03498,-0.02897,0.05603,0.06434,0.10086
0.28945,0.00891,0.04326,0.06248,0.05835,0.08246
0.45888,0.01809,-0.00947,0.06874,0.04339,0.05991
0.42335,-0.004,0.00588,0.06079,0.04894,0.07428
0.33254,-0.02414,-0.04813,0.0538,0.08995,0.13463
0.39926,-0.06329,0.02061,0.10799,0.0953,0.07935
0.4235,0.01299,-0.02068,0.04377,0.06226,0.08339
0.43625,-0.02243,0.00096,0.06257,0.12508,0.09
0.34951,-0.00492,-0.01899,-0.00893,0.07536,0.07669
0.30474,-0.01493,-0.01887,-0.00189,0.03346,0.06013
0.35154,-0.02202,-0.02123,0.01252,0.04234,0.06204
0.39541,0.0026,-0.0082,0.02826,0.15359,0.09425
0.3965,0.00642,-0.00051,0.08419,0.07858,0.05136
0.36765,-0.02506,-0.03581,0.04189,0.08852,0.08235
0.29562,-0.01703,-0.0054,0.04489,0.15579,0.11289
0.36027,0.09501,-0.01663,0.05061,0.0578,0.02742
0.38973,0.00333,-0.02748,0.07274,0.12916,0.06794
0.31557,0.02698,-0.00579,0.05198,0.08499,0.07428
0.37911,-0.02014,-0.02782,0.03297,0.08206,0.06902
0.39424,0.09494,-0.00683,0.05071,0.03993,0.0028
0.38126,-0.06256,-0.03175,0.02687,0.08813,0.09028
0.27709,-0.01574,-0.0394,0.04932,0.12947,0.06366
0.42612,-0.01179,-0.006,0.03567,0.04909,0.0672
0.40422,-0.04369,-0.0048,0.07053,0.12766,0.10604
0.38284,0.04167,0.00697,0.09619,0.0696,0.05834
0.41293,0.07165,0.02805,0.05939,0.10536,0.04273
0.40222,-0.01996,-0.02759,0.01519,0.03559,0.05626
0.3701,-0.0137,-0.02129,0.00502,0.03238,0.07789
0.18606,-0.02717,-0.01594,-0.012,-0.00616,0.04883
0.45105,0.03059,-0.00866,-0.00634,0.04013,0.11942
0.42386,0.00455,-0.03155,0.0524,0.12326,0.10266
0.36537,0.0687,-0.02444,0.08285,0.0296,0.03437
0.48169,0.09436,0.04195,0.02551,0.05811,0.04454
0.41273,0.14271,0.02877,0.04405,0.01846,0.00234
0.40428,-0.01225,0.01988,0.03111,0.15839,0.09743
0.47142,0.08824,0.01585,0.05617,0.03922,0.00078
0.37953,-0.00754,-0.01801,0.00937,0.02251,0.1075
0.36763,0.05245,-0.02687,0.03027,0.09701,0.09289
0.40849,0.02354,0.0013,0.02969,0.04887,0.06221
0.30426,0.03762,-0.01695,0.04144,0.06461,0.05878
0.42193,0.06392,0.02362,0.07267,0.05948,0.05863
0.43955,0.06354,0.0085,0.0296,0.05647,0.05316
0.37917,-0.01774,-0.01946,0.01407,0.09093,0.10493
0.45592,-0.03691,0.00571,0.04532,0.10581,0.10449
0.42137,-0.05001,-0.0388,0.04319,0.10452,0.1063
0.35543,0.0121,-0.01624,0.01406,0.04858,0.08475
0.47308,-0.00846,-0.01459,0.06053,0.08278,0.0934
0.34933,-0.01966,-0.04306,0.03249,0.07829,0.06948
0.46808,-0.01712,0.00396,0.02005,0.09762,0.10065
0.40276,0.01788,-0.01621,0.06059,0.11191,0.09927
0.50215,0.0695,0.00332,0.03026,0.07548,0.09411
0.43161,-0.00547,-0.01621,0.06758,0.06135,0.08141
0.43183,0.07327,-0.01583,0.0585,0.07935,0.03472
0.42569,0.05546,0.00283,0.07775,0.08587,0.03989
0.43617,-0.0173,-0.02132,0.04093,0.1042,0.13099
0.44207,0.07267,0.00442,0.05233,0.05647,0.04707
0.36114,-0.00728,-0.01153,0.06095,0.11141,0.13196
0.47943,0.05217,0.00708,0.03085,0.07497,0.03918
0.39856,0.00254,-0.04419,0.06017,0.0719,0.09485
0.42354,-0.00672,-0.02694,0.01241,0.03066,0.07645
0.45396,0.07002,0.0212,0.0661,0.08132,0.06478
0.38326,-0.01638,-0.05236,0.01697,0.04494,0.0992
0.24044,-0.02258,-0.04531,0.02971,0.12811,0.09547
0.39645,0.03239,0.04872,0.04463,0.09641,0.06553
0.4362,-0.04892,-0.01194,0.07842,0.04998,0.10719
0.34359,0.02717,-0.02488,0.02002,0.05344,0.09162
0.33839,0.00907,-0.01822,0.01347,0.05406,0.08347
0.39565,0.0207,-0.01309,0.04899,0.07191,0.11601
0.476,0.0224,-0.00964,0.05386,0.04324,0.05081
0.43378,-0.05276,-0.02291,0.03504,0.13122,0.12872
0.24597,-0.05795,-0.05856,0.0198,0.15304,0.12168
0.30487,-0.00704,-0.03017,0.04602,0.14466,0.07892
0.36662,-0.06895,0.02191,0.03878,0.10134,0.11342
0.28929,0.05791,-0.01515,0.04974,0.04258,0.02055
0.20689,-0.02659,-0.01703,-0.00962,-0.00457,0.05195
0.41929,0.05871,-0.03383,0.04589,0.0581,0.05437
0.42515,-0.04437,-0.05914,0.04713,0.0532,0.10381
0.4538,-0.0308,-0.02397,0.05091,0.03121,0.07269
0.43493,-0.01469,-0.02701,0.03076,0.10189,0.08653
0.34152,-0.01068,-0.00058,0.07235,0.12331,0.08299
0.432,0.02191,-0.00961,0.07597,0.08644,0.04826
0.54853,0.01924,-0.01702,0.04147,0.05403,0.07778
0.29879,0.02569,-0.01504,0.0325,0.09959,0.05433
0.37215,-0.01032,-0.03171,0.04056,0.09449,0.073
0.45605,0.04928,0.00292,0.02888,0.04531,0.05832
0.38354,0.04364,-0.02237,0.02319,0.10734,0.08574
0.37965,-0.01458,-0.01835,0.061,0.02441,0.06892
0.49798,0.01768,-0.01052,0.03248,0.04464,0.07681
0.4118,0.04396,-0.03765,-0.00564,0.07613,0.06368
0.46034,-0.00996,-0.03463,0.01485,0.04884,0.07318
0.40231,-0.0421,-0.0086,0.01438,0.08752,0.11905
0.49929,0.01696,-0.0221,0.05114,0.03503,0.09248
0.33633,-0.00417,-0.03985,0.02357,0.09914,0.10214
0.47413,0.09728,0.00389,-0.00797,0.05303,0.05424
0.50479,-0.00446,-0.00998,0.02711,0.06219,0.10315
0.47314,0.02916,-0.0185,0.02605,0.06136,0.05496
0.45137,-0.02219,-0.02306,0.03936,0.06161,0.10403
0.46014,-0.02639,-0.05234,0.02123,0.06794,0.09172
0.36223,0.00872,-0.07901,-0.02484,0.07392,0.04147
0.25376,-0.01886,-0.02489,-0.0092,0.02029,0.06455
0.40297,-0.02339,-0.01072,0.02807,0.08552,0.06586
0.2544,-0.01208,-0.01624,-0.00807,-0.00709,0.04918
0.52153,-0.0505,0.038,0.05686,0.12436,0.09634
0.41987,0.01795,-0.01745,0.02552,0.05791,0.07994
0.29171,-0.04313,-0.03202,0.05728,0.08336,0.12276
0.44838,-0.02852,-0.01123,0.05762,0.08687,0.09195
0.3607,-0.02452,-0.02163,0.04278,0.06776,0.06236
0.33491,-0.03696,-0.04924,0.03461,0.09532,0.10044
0.4109,-0.03631,-0.02131,0.0162,0.10241,0.12543
0.3916,0.01829,-0.03941,0.03596,0.08458,0.06726
0.32431,0.03564,-0.03317,0.04696,0.12126,0.08378
0.4482,0.00611,-0.02135,0.00744,0.1353,0.07906
0.42384,-0.03419,0.00129,0.06347,0.11329,0.1076
0.36906,0.0289,0.02354,0.05184,0.06262,0.06132
0.3328,-0.01525,-0.03965,0.05972,0.06859,0.08209
0.40008,-0.00628,-0.00799,0.02777,0.12605,0.09093
0.46272,0.04445,0.00934,0.0174,0.07506,0.07624
0.4684,-0.02968,-0.00956,0.034,0.09791,0.07538
0.3654,0.02363,0.03261,0.03738,0.12098,0.08626
0.38957,0.01695,-0.01375,0.04563,0.04729,0.08278
0.43949,-0.04895,0.02658,0.05153,0.13793,0.12982
0.32776,0.04174,0.0073,0.02044,0.07885,0.0423
0.34508,-0.02364,-0.0343,0.05168,0.12516,0.10935
0.20372,-0.03462,-0.01912,-0.00509,0.00181,0.05469
0.38149,0.01741,-0.01989,0.0789,0.10209,0.04263
0.34578,0.02848,-0.03406,0.01616,0.0976,0.09
0.45953,-0.04222,-0.0172,0.02637,0.0213,0.0805
0.32418,0.04916,-0.04894,0.02816,0.03417,0.05486
0.28305,-0.02073,-0.00412,0.09094,0.06319,0.07089
0.3547,-0.03971,-0.01906,0.03308,0.06907,0.10906
0.3878,0.0987,0.00875,0.06428,0.03525,0.00029
0.49921,0.00475,-0.00569,0.02154,0.06928,0.05472
0.41544,-5e-04,-0.01387,0.02422,0.07635,0.03981
0.45553,-0.05551,-0.00162,0.05095,0.09683,0.11591
0.39233,-0.02291,-0.02559,0.04072,0.11938,0.12717
0.32786,-0.02394,0.02896,0.06149,0.04061,0.06634
0.35843,-0.01446,-0.01547,0.0473,0.0732,0.10118
0.29676,-0.03177,-0.00977,0.05152,0.05769,0.08023
0.30542,-0.01232,-0.01141,0.0176,0.07077,0.08264
0.42588,-0.05463,-0.014,0.03105,0.07177,0.08648
0.44297,-0.05265,-0.00227,0.04145,0.11589,0.10094
0.47459,0.0674,-0.02655,0.05169,0.06666,0.04375
0.37633,-0.01807,-0.025,0.02169,0.05631,0.0717
0.45381,0.05116,-0.04503,0.02108,0.06711,0.10037
0.38633,-0.03045,-0.00502,0.04851,0.0824,0.10044
0.3879,0.0586,-0.00603,0.02486,0.04137,0.03084
0.38094,0.07143,-0.01058,0.01647,0.04176,0.05849
0.40172,-0.02851,-0.02929,0.05743,0.11111,0.08629
0.33307,0.11122,-0.01507,0.04163,0.07197,0.03546
0.34305,-0.00953,-0.02643,0.00552,0.03948,0.08286
0.37315,0.12329,0.00736,0.03755,0.03999,0.01858
0.35456,0.02073,-0.02567,0.03401,0.10188,0.07294
0.37761,-0.06388,-0.03999,0.03306,0.11845,0.10167
0.46468,0.03639,-0.03317,0.01404,0.0826,0.1225
0.41985,0.00641,-0.03564,0.0479,0.05202,0.10777
0.33138,-0.05516,-0.00727,0.02477,0.08214,0.14865
0.31941,0.02712,-0.009,0.04781,0.06355,0.07689
0.41957,0.03294,-0.03008,0.05497,0.09138,0.09036
0.35923,0.03906,0.00392,0.06218,0.11613,0.08873
0.48695,0.07037,-0.02797,0.02906,0.00945,0.04543
0.41945,-0.00821,-0.03403,0.00366,0.01279,0.06468
0.36481,0.15348,0.03331,0.03672,0.041,-0.00612
0.37534,0.07986,-0.01371,-0.00173,0.07373,0.09944
0.50616,0.02849,0.02294,0.04958,0.11187,0.05506
0.37751,0.03379,-0.0245,0.00993,0.12147,0.07825
0.41823,0.0422,-0.02258,0.01304,0.08108,0.05141
0.37062,-0.00368,-0.04073,0.06009,0.08494,0.08501
0.37686,-0.02139,-0.02308,0.07744,0.10568,0.09486
0.40517,0.00522,-0.02299,0.0433,0.09919,0.08583
0.33928,-0.06182,0.02997,0.07271,0.10783,0.10255
0.41696,0.00382,-0.04761,0.04207,0.11829,0.03091
0.35554,-0.0153,-0.04528,0.05043,0.09388,0.08965
0.36675,0.13094,0.01401,0.05224,0.04811,-0.01798
0.40675,0.0103,0.00642,0.06204,0.04959,0.05648
0.30699,0.01595,-0.05206,0.03539,0.06276,0.0717
0.41597,0.02106,-0.02854,0.01409,0.08188,0.10262
0.41878,0.00261,0.00235,0.04854,0.04866,0.06948
0.34962,-0.02433,-0.02439,0.08155,0.07735,0.07424
0.35104,0.01167,0.01026,0.03393,0.06987,0.10964
0.42075,0.03665,-0.00705,0.02651,0.05926,0.06977
0.38263,-0.06073,-0.02401,0.03884,0.13951,0.10276
0.2882,-0.02771,-0.00356,0.00169,0.02858,0.07242
0.41861,0.06895,0.00555,0.04059,0.03735,0.01876
0.27767,-0.05645,-0.02979,0.01502,0.10284,0.09597
0.48645,-0.02583,0.01682,0.04408,0.09393,0.08383
0.38774,0.06553,-0.02809,0.00296,0.03883,0.066
0.50706,0.1035,0.0216,0.03776,0.03621,0.01597
0.39098,0.01769,0.03816,0.0346,0.08458,0.059
0.32748,0.03839,0.01116,0.04224,0.07652,0.06006
0.41333,0.01715,0.0854,0.08286,0.09299,0.04742
0.39288,-0.06504,-0.02018,0.03891,0.05418,0.073
0.35619,0.04492,-0.00217,0.02293,0.04027,0.04029
0.43899,0.00502,0.00422,0.07113,0.10988,0.07131
0.42292,-0.00193,0.01193,0.05177,0.10974,0.08662
0.39557,0.04852,-0.00224,0.09479,0.08316,0.07246
0.44178,0.04766,0.00109,0.082,0.08891,0.05136
0.38247,0.06894,-0.00506,0.01477,0.0707,0.08276
0.40866,0.02592,-0.01466,0.06857,0.07052,0.09049
0.31226,-0.02156,0.00267,0.01117,0.17045,0.081
0.3807,-0.00433,-0.03581,-0.00568,0.02839,0.08497
0.37464,0.03653,0.03037,0.05602,0.09493,0.08332
0.40484,0.0834,-0.01206,0.02425,0.06497,0.04677
0.37386,0.14769,0.01583,0.04412,0.03113,-0.01338
0.31977,-0.02995,-0.04125,0.04556,0.14433,0.08888
0.44504,0.05285,-0.01942,0.04631,0.06824,0.06484
0.50268,-0.03353,-0.00647,0.04023,0.09548,0.10967
0.40552,0.04365,0.00735,0.04384,0.04649,0.05909
0.39206,0.04688,-0.01806,0.063,0.06454,0.04439
0.4179,-0.05131,-0.00995,0.01346,0.08711,0.11005
0.4959,-0.00177,-0.03537,0.04786,0.02813,0.11263
0.42914,0.09237,-0.02335,0.02125,0.05947,0.06468
0.39707,-0.00449,-0.00505,0.03685,0.05424,0.08275
0.42089,-0.03377,-0.01628,0.01372,0.10713,0.12051
0.46188,-0.03311,-0.02325,0.05248,0.07391,0.0879
0.38429,-0.02776,-0.00336,0.05678,0.0897,0.14492
0.30529,0.01151,-0.03595,0.02849,0.06642,0.07972
0.33294,0.07807,0.01943,0.02925,0.05902,0.02766
0.47197,-0.01213,-0.01838,0.02602,0.10606,0.09905
0.40482,0.00345,-0.01001,0.0426,0.07881,0.07261
0.31281,-0.0346,-0.01281,-0.00832,0.10326,0.09584
0.37487,-0.00783,-0.0156,0.05666,0.04871,0.05553
0.45023,0.06924,0.01252,0.02216,0.06737,0.04694
0.47731,-0.00867,-0.01087,0.02273,0.10257,0.08462
0.31176,-0.06506,-0.02146,0.08366,0.10886,0.07901
0.49911,0.09384,-0.03006,0.03792,0.03236,0.03266
0.46473,-0.05974,-0.01261,0.03334,0.11113,0.10642
0.38313,0.06548,-0.01768,0.02306,0.0993,0.04795
0.39348,0.01744,-0.02141,0.00484,0.03926,0.0477
0.17889,-0.02704,-0.0149,-0.01077,-0.00733,0.04716
0.3771,-0.01984,-0.01069,0.09393,0.09519,0.06849
0.36191,0.1105,0.0157,0.06232,0.05582,0.01042
0.5049,0.0558,-0.0239,0.03374,0.01966,0.03912
0.45845,0.04373,-0.00524,0.01206,0.09047,0.05653
0.47599,-0.0083,0.02275,0.07008,0.09301,0.05345
0.36487,-0.01407,-0.01776,0.04314,0.04907,0.08645
0.31804,-0.02863,-0.01013,0.0559,0.14648,0.1134
0.3123,-0.02844,-7e-04,0.0662,0.14044,0.07106
0.46137,0.00807,0.03147,0.04042,0.08546,0.07768
0.36099,-0.0375,-0.0148,0.03999,0.10016,0.10517
0.43592,-0.06104,-0.04778,0.01612,0.07026,0.10676
0.46644,-0.05227,-0.01689,0.05036,0.06524,0.08588
0.394,-0.00347,0.01823,0.02548,0.09472,0.08141
0.29591,0.00122,-0.04153,0.0188,0.07985,0.05227
0.37044,0.11691,0.00385,0.02304,0.04148,0.01729
0.41141,-0.01961,0.01002,0.04819,0.08989,0.07295
0.405,0.04955,-0.03941,0.03466,0.06426,0.08075
0.39075,0.04272,-0.00938,0.01112,0.06879,0.08239
0.44809,0.02235,-0.02603,0.05231,0.04368,0.06045
0.52328,-0.02734,-0.03585,-0.00068,0.07677,0.09189
0.37228,0.00177,0.03074,0.10808,0.05078,0.0702
0.45356,0.0162,-0.00909,0.04479,0.05238,0.07557
0.41747,-0.05394,0.03467,0.06203,0.13741,0.12164
0.40055,-0.00765,0.00598,0.06825,0.07203,0.09124
0.2529,0.00198,-0.00296,0.0133,0.031,0.03447
0.42109,-0.01778,-0.00632,0.01465,0.05625,0.07135
0.40135,0.01577,0.0079,0.00972,0.04816,0.04354
0.37487,-0.017,0.00173,0.01589,0.0833,0.07853
0.34323,-0.01588,-0.0085,0.05242,0.12372,0.10075
0.38692,-0.02025,0.02621,0.05316,0.11022,0.08574
0.37484,-0.03847,-0.02727,0.01441,0.05838,0.07986
0.37659,0.10916,0.02918,0.03784,0.05772,0.01605
0.41187,-0.0225,-0.01635,-0.00413,0.05318,0.06922
