name,date,wind_intensity_average,wind_direction_average
BEITEM,2019-06-17,2.35,219.43
BEITEM,2019-06-18,1.69,74.52
BEITEM,2019-06-19,2.76,293.68
BEITEM,2019-06-20,4.12,239.12
BEITEM,2019-06-21,3.15,297.07
BEITEM,2019-06-22,2.57,44.43
BEITEM,2019-06-23,2.72,92.96
BEITEM,2019-06-24,2.76,104.44
BEITEM,2019-06-25,2.87,307.82
BEITEM,2019-06-26,4.36,13.33
BEITEM,2019-06-27,4.78,39.71
BEITEM,2019-06-28,3.62,60.00
BEITEM,2019-06-29,2.39,126.86
BEITEM,2019-06-30,3.71,263.03
BEITEM,2019-07-01,3.35,285.84
BEITEM,2019-07-02,2.91,344.85
BEITEM,2019-07-03,3.90,30.78
BEITEM,2019-07-04,2.15,54.33
BEITEM,2019-07-05,2.45,293.48
BEITEM,2019-07-06,3.21,317.23
BEITEM,2019-07-07,2.51,21.48
BEITEM,2019-07-08,2.81,344.38
BEITEM,2019-07-09,1.66,40.19
BEITEM,2019-07-10,1.91,234.47
BEITEM,2019-07-11,2.60,262.98
BEITEM,2019-07-12,3.95,302.51
BEITEM,2019-07-13,4.25,344.15
BEITEM,2019-07-14,3.79,6.58
BEITEM,2019-07-15,2.79,356.20
BEITEM,2019-07-16,1.55,348.78
BEITEM,2019-07-17,1.47,114.28
KOKSIJDE,2019-04-01,4.33,58.79
KOKSIJDE,2019-04-02,4.52,214.53
KOKSIJDE,2019-04-03,4.00,180.58
KOKSIJDE,2019-04-04,4.18,151.67
KOKSIJDE,2019-04-05,3.85,96.34
KOKSIJDE,2019-04-06,4.18,47.43
KOKSIJDE,2019-04-07,3.87,340.69
KOKSIJDE,2019-04-08,3.22,310.57
KOKSIJDE,2019-04-09,4.86,30.65
KOKSIJDE,2019-04-10,7.89,40.27
KOKSIJDE,2019-04-11,6.38,38.77
KOKSIJDE,2019-04-12,4.58,49.90
KOKSIJDE,2019-04-13,5.25,44.75
KOKSIJDE,2019-04-14,3.83,60.35
KOKSIJDE,2019-04-15,4.25,89.91
KOKSIJDE,2019-04-16,2.95,47.76
KOKSIJDE,2019-04-17,2.58,99.33
KOKSIJDE,2019-04-18,4.54,64.79
KOKSIJDE,2019-04-19,4.49,37.97
KOKSIJDE,2019-04-20,4.27,20.59
KOKSIJDE,2019-04-21,3.94,46.70
KOKSIJDE,2019-04-22,3.28,89.61
KOKSIJDE,2019-04-23,2.97,96.41
KOKSIJDE,2019-04-24,5.20,173.28
KOKSIJDE,2019-04-25,5.42,168.64
KOKSIJDE,2019-04-26,4.25,205.19
KOKSIJDE,2019-04-27,8.34,241.47
KOKSIJDE,2019-04-28,4.74,307.31
KOKSIJDE,2019-04-29,3.18,12.79
KOKSIJDE,2019-04-30,3.93,20.05
KOKSIJDE,2019-05-01,1.83,315.55
KOKSIJDE,2019-05-02,3.75,304.21
KOKSIJDE,2019-05-03,3.02,10.66
KOKSIJDE,2019-05-04,8.03,3.23
KOKSIJDE,2019-05-05,5.87,352.34
KOKSIJDE,2019-05-06,3.66,261.17
KOKSIJDE,2019-05-07,2.86,191.89
KOKSIJDE,2019-05-08,5.77,186.46
KOKSIJDE,2019-05-09,4.57,243.13
KOKSIJDE,2019-05-10,2.74,328.23
KOKSIJDE,2019-05-11,4.97,9.74
KOKSIJDE,2019-05-12,5.18,16.42
KOKSIJDE,2019-05-13,5.74,44.53
KOKSIJDE,2019-05-14,6.53,47.80
KOKSIJDE,2019-05-15,5.45,44.14
KOKSIJDE,2019-05-16,5.82,41.29
KOKSIJDE,2019-05-17,3.87,52.12
KOKSIJDE,2019-05-18,2.92,48.93
KOKSIJDE,2019-05-19,4.63,353.95
KOKSIJDE,2019-05-20,4.63,338.81
KOKSIJDE,2019-05-21,3.36,343.52
KOKSIJDE,2019-05-22,1.99,67.09
KOKSIJDE,2019-05-23,2.37,251.42
KOKSIJDE,2019-05-24,3.11,313.73
KOKSIJDE,2019-05-25,2.73,286.05
KOKSIJDE,2019-05-26,6.43,237.31
KOKSIJDE,2019-05-27,4.71,268.68
KOKSIJDE,2019-05-28,3.55,327.58
KOKSIJDE,2019-05-29,3.59,216.33
KOKSIJDE,2019-05-30,6.28,235.08
KOKSIJDE,2019-05-31,3.94,241.95
KOKSIJDE,2019-06-01,2.15,339.74
KOKSIJDE,2019-06-02,4.06,207.24
KOKSIJDE,2019-06-03,4.49,239.57
KOKSIJDE,2019-06-04,3.98,119.89
KOKSIJDE,2019-06-05,4.02,267.48
KOKSIJDE,2019-06-06,4.02,254.77
KOKSIJDE,2019-06-07,6.82,137.95
KOKSIJDE,2019-06-08,9.13,226.74
KOKSIJDE,2019-06-09,3.05,356.51
KOKSIJDE,2019-06-10,2.79,20.03
KOKSIJDE,2019-06-11,2.61,20.45
KOKSIJDE,2019-06-12,2.15,137.74
KOKSIJDE,2019-06-13,5.36,195.76
KOKSIJDE,2019-06-14,2.87,187.55
KOKSIJDE,2019-06-15,2.43,285.84
KOKSIJDE,2019-06-16,4.23,221.88
KOKSIJDE,2019-06-17,2.69,288.06
KOKSIJDE,2019-06-18,2.65,43.43
KOKSIJDE,2019-06-19,3.93,307.42
KOKSIJDE,2019-06-20,5.26,244.05
KOKSIJDE,2019-06-21,3.57,287.83
KOKSIJDE,2019-06-22,4.32,45.07
KOKSIJDE,2019-06-23,3.08,68.78
KOKSIJDE,2019-06-24,2.89,350.15
KOKSIJDE,2019-06-25,3.56,342.38
KOKSIJDE,2019-06-26,6.53,24.20
KOKSIJDE,2019-06-27,7.71,41.78
KOKSIJDE,2019-06-28,4.93,50.15
KOKSIJDE,2019-06-29,3.20,123.25
KOKSIJDE,2019-06-30,4.75,258.10
KOKSIJDE,2019-07-01,null,null
KOKSIJDE,2019-07-02,null,null
KOKSIJDE,2019-07-03,5.23,42.25
KOKSIJDE,2019-07-04,3.03,47.87
KOKSIJDE,2019-07-05,2.18,290.00
KOKSIJDE,2019-07-06,3.23,333.32
KOKSIJDE,2019-07-07,2.99,40.70
KOKSIJDE,2019-07-08,3.07,340.15
KOKSIJDE,2019-07-09,2.04,54.05
KOKSIJDE,2019-07-10,2.62,237.04
KOKSIJDE,2019-07-11,3.55,256.83
KOKSIJDE,2019-07-12,3.74,306.72
KOKSIJDE,2019-07-13,5.15,358.10
KOKSIJDE,2019-07-14,5.61,15.96
KOKSIJDE,2019-07-15,3.59,13.68
KOKSIJDE,2019-07-16,1.51,301.96
KOKSIJDE,2019-07-17,2.40,108.37
SEMMERZAKE,2019-04-01,3.61,72.47
SEMMERZAKE,2019-04-02,4.03,196.22
SEMMERZAKE,2019-04-03,3.64,181.73
SEMMERZAKE,2019-04-04,3.05,163.13
SEMMERZAKE,2019-04-05,2.84,102.76
SEMMERZAKE,2019-04-06,2.32,66.06
SEMMERZAKE,2019-04-07,2.31,285.83
SEMMERZAKE,2019-04-08,1.69,279.36
SEMMERZAKE,2019-04-09,2.12,18.71
SEMMERZAKE,2019-04-10,5.01,31.50
SEMMERZAKE,2019-04-11,3.90,22.60
SEMMERZAKE,2019-04-12,3.20,47.28
SEMMERZAKE,2019-04-13,3.50,27.63
SEMMERZAKE,2019-04-14,2.39,51.73
SEMMERZAKE,2019-04-15,3.08,84.28
SEMMERZAKE,2019-04-16,2.91,130.80
SEMMERZAKE,2019-04-17,2.13,141.05
SEMMERZAKE,2019-04-18,3.30,73.68
SEMMERZAKE,2019-04-19,3.05,60.01
SEMMERZAKE,2019-04-20,3.18,44.57
SEMMERZAKE,2019-04-21,2.40,47.30
SEMMERZAKE,2019-04-22,2.93,91.77
SEMMERZAKE,2019-04-23,2.98,97.65
SEMMERZAKE,2019-04-24,5.29,171.35
SEMMERZAKE,2019-04-25,4.87,169.28
SEMMERZAKE,2019-04-26,3.78,203.93
SEMMERZAKE,2019-04-27,6.08,232.33
SEMMERZAKE,2019-04-28,2.35,277.82
SEMMERZAKE,2019-04-29,1.85,312.53
SEMMERZAKE,2019-04-30,2.54,356.30
SEMMERZAKE,2019-05-01,1.78,354.57
SEMMERZAKE,2019-05-02,2.32,283.22
SEMMERZAKE,2019-05-03,2.05,332.13
SEMMERZAKE,2019-05-04,4.57,340.41
SEMMERZAKE,2019-05-05,3.76,332.23
SEMMERZAKE,2019-05-06,2.51,232.68
SEMMERZAKE,2019-05-07,2.60,180.20
SEMMERZAKE,2019-05-08,4.47,176.87
SEMMERZAKE,2019-05-09,4.19,211.51
SEMMERZAKE,2019-05-10,2.51,296.25
SEMMERZAKE,2019-05-11,4.19,359.69
SEMMERZAKE,2019-05-12,3.33,351.56
SEMMERZAKE,2019-05-13,3.84,36.13
SEMMERZAKE,2019-05-14,3.81,40.87
SEMMERZAKE,2019-05-15,2.99,50.38
SEMMERZAKE,2019-05-16,2.88,47.33
SEMMERZAKE,2019-05-17,2.15,67.43
SEMMERZAKE,2019-05-18,1.93,37.68
SEMMERZAKE,2019-05-19,3.78,336.16
SEMMERZAKE,2019-05-20,3.66,326.68
SEMMERZAKE,2019-05-21,3.72,326.47
SEMMERZAKE,2019-05-22,2.23,35.75
SEMMERZAKE,2019-05-23,2.28,217.46
SEMMERZAKE,2019-05-24,2.61,291.55
SEMMERZAKE,2019-05-25,2.18,148.83
SEMMERZAKE,2019-05-26,4.89,224.45
SEMMERZAKE,2019-05-27,2.88,264.67
SEMMERZAKE,2019-05-28,2.40,314.58
SEMMERZAKE,2019-05-29,2.90,205.30
SEMMERZAKE,2019-05-30,4.70,224.88
SEMMERZAKE,2019-05-31,2.67,217.68
SEMMERZAKE,2019-06-01,2.22,193.89
SEMMERZAKE,2019-06-02,3.88,201.21
SEMMERZAKE,2019-06-03,2.76,236.43
SEMMERZAKE,2019-06-04,3.16,131.39
SEMMERZAKE,2019-06-05,2.75,259.73
SEMMERZAKE,2019-06-06,3.24,204.80
SEMMERZAKE,2019-06-07,6.25,148.31
SEMMERZAKE,2019-06-08,8.15,218.40
SEMMERZAKE,2019-06-09,2.13,134.68
SEMMERZAKE,2019-06-10,2.32,199.15
SEMMERZAKE,2019-06-11,2.19,183.52
SEMMERZAKE,2019-06-12,2.20,213.37
SEMMERZAKE,2019-06-13,4.86,196.04
SEMMERZAKE,2019-06-14,2.95,190.18
SEMMERZAKE,2019-06-15,1.97,292.68
SEMMERZAKE,2019-06-16,3.43,202.63
SEMMERZAKE,2019-06-17,2.35,190.53
SEMMERZAKE,2019-06-18,1.54,66.95
SEMMERZAKE,2019-06-19,2.50,207.07
SEMMERZAKE,2019-06-20,3.52,238.46
SEMMERZAKE,2019-06-21,2.88,293.41
SEMMERZAKE,2019-06-22,2.68,31.62
SEMMERZAKE,2019-06-23,2.51,89.57
SEMMERZAKE,2019-06-24,2.57,143.74
SEMMERZAKE,2019-06-25,2.68,273.65
SEMMERZAKE,2019-06-26,3.87,358.10
SEMMERZAKE,2019-06-27,4.70,34.77
SEMMERZAKE,2019-06-28,3.04,58.62
SEMMERZAKE,2019-06-29,2.38,119.05
SEMMERZAKE,2019-06-30,3.18,258.18
SEMMERZAKE,2019-07-01,null,null
SEMMERZAKE,2019-07-02,null,null
SEMMERZAKE,2019-07-03,3.87,33.22
SEMMERZAKE,2019-07-04,2.39,37.18
SEMMERZAKE,2019-07-05,2.22,275.93
SEMMERZAKE,2019-07-06,3.11,304.70
SEMMERZAKE,2019-07-07,2.64,359.66
SEMMERZAKE,2019-07-08,2.85,336.88
SEMMERZAKE,2019-07-09,1.71,30.29
SEMMERZAKE,2019-07-10,1.80,151.85
SEMMERZAKE,2019-07-11,2.21,260.90
SEMMERZAKE,2019-07-12,3.21,287.14
SEMMERZAKE,2019-07-13,3.54,332.52
SEMMERZAKE,2019-07-14,3.16,2.03
SEMMERZAKE,2019-07-15,2.17,335.17
SEMMERZAKE,2019-07-16,1.61,353.07
SEMMERZAKE,2019-07-17,1.36,133.92
ZEEBRUGGE,2019-04-01,6.67,68.34
ZEEBRUGGE,2019-04-02,6.22,214.46
ZEEBRUGGE,2019-04-03,4.78,177.40
ZEEBRUGGE,2019-04-04,4.83,155.06
ZEEBRUGGE,2019-04-05,5.17,88.26
ZEEBRUGGE,2019-04-06,5.32,47.55
ZEEBRUGGE,2019-04-07,3.98,328.50
ZEEBRUGGE,2019-04-08,3.60,258.13
ZEEBRUGGE,2019-04-09,5.32,31.83
ZEEBRUGGE,2019-04-10,9.87,35.51
ZEEBRUGGE,2019-04-11,8.45,32.80
ZEEBRUGGE,2019-04-12,6.17,44.83
ZEEBRUGGE,2019-04-13,6.74,36.68
ZEEBRUGGE,2019-04-14,5.61,54.57
ZEEBRUGGE,2019-04-15,6.39,94.69
ZEEBRUGGE,2019-04-16,4.09,84.92
ZEEBRUGGE,2019-04-17,3.19,78.34
ZEEBRUGGE,2019-04-18,5.40,58.06
ZEEBRUGGE,2019-04-19,5.63,46.46
ZEEBRUGGE,2019-04-20,5.13,32.58
ZEEBRUGGE,2019-04-21,4.65,44.77
ZEEBRUGGE,2019-04-22,4.80,82.90
ZEEBRUGGE,2019-04-23,5.30,84.82
ZEEBRUGGE,2019-04-24,6.41,161.98
ZEEBRUGGE,2019-04-25,6.98,159.75
ZEEBRUGGE,2019-04-26,5.20,200.44
ZEEBRUGGE,2019-04-27,10.02,232.38
ZEEBRUGGE,2019-04-28,5.35,320.40
ZEEBRUGGE,2019-04-29,4.57,18.73
ZEEBRUGGE,2019-04-30,5.51,19.78
ZEEBRUGGE,2019-05-01,2.83,323.41
ZEEBRUGGE,2019-05-02,4.39,303.03
ZEEBRUGGE,2019-05-03,4.72,4.55
ZEEBRUGGE,2019-05-04,11.76,352.82
ZEEBRUGGE,2019-05-05,8.39,346.02
ZEEBRUGGE,2019-05-06,4.88,246.42
ZEEBRUGGE,2019-05-07,3.84,160.71
ZEEBRUGGE,2019-05-08,6.92,173.73
ZEEBRUGGE,2019-05-09,5.69,233.17
ZEEBRUGGE,2019-05-10,2.99,359.68
ZEEBRUGGE,2019-05-11,7.12,13.27
ZEEBRUGGE,2019-05-12,7.14,8.96
ZEEBRUGGE,2019-05-13,7.14,41.54
ZEEBRUGGE,2019-05-14,8.05,43.85
ZEEBRUGGE,2019-05-15,6.04,41.27
ZEEBRUGGE,2019-05-16,7.07,36.88
ZEEBRUGGE,2019-05-17,4.63,51.66
ZEEBRUGGE,2019-05-18,3.90,44.31
ZEEBRUGGE,2019-05-19,6.98,353.70
ZEEBRUGGE,2019-05-20,7.28,333.84
ZEEBRUGGE,2019-05-21,4.53,324.73
ZEEBRUGGE,2019-05-22,3.01,180.93
ZEEBRUGGE,2019-05-23,3.14,218.59
ZEEBRUGGE,2019-05-24,3.60,307.69
ZEEBRUGGE,2019-05-25,2.82,34.91
ZEEBRUGGE,2019-05-26,7.25,230.71
ZEEBRUGGE,2019-05-27,5.38,258.01
ZEEBRUGGE,2019-05-28,4.95,341.58
ZEEBRUGGE,2019-05-29,4.77,178.31
ZEEBRUGGE,2019-05-30,7.52,225.67
ZEEBRUGGE,2019-05-31,5.06,229.52
ZEEBRUGGE,2019-06-01,2.95,350.46
ZEEBRUGGE,2019-06-02,5.84,204.46
ZEEBRUGGE,2019-06-03,5.15,239.38
ZEEBRUGGE,2019-06-04,5.13,138.42
ZEEBRUGGE,2019-06-05,5.54,259.61
ZEEBRUGGE,2019-06-06,5.75,249.73
ZEEBRUGGE,2019-06-07,9.06,136.21
ZEEBRUGGE,2019-06-08,11.22,211.80
ZEEBRUGGE,2019-06-09,4.80,347.30
ZEEBRUGGE,2019-06-10,4.22,32.56
ZEEBRUGGE,2019-06-11,3.98,297.46
ZEEBRUGGE,2019-06-12,3.25,92.54
ZEEBRUGGE,2019-06-13,8.00,183.70
ZEEBRUGGE,2019-06-14,4.44,148.23
ZEEBRUGGE,2019-06-15,3.14,5.18
ZEEBRUGGE,2019-06-16,4.76,223.88
ZEEBRUGGE,2019-06-17,3.38,279.31
ZEEBRUGGE,2019-06-18,3.96,15.09
ZEEBRUGGE,2019-06-19,3.69,262.68
ZEEBRUGGE,2019-06-20,6.28,234.36
ZEEBRUGGE,2019-06-21,4.69,269.43
ZEEBRUGGE,2019-06-22,5.90,43.57
ZEEBRUGGE,2019-06-23,4.66,60.71
ZEEBRUGGE,2019-06-24,4.26,123.46
ZEEBRUGGE,2019-06-25,4.25,337.30
ZEEBRUGGE,2019-06-26,8.75,13.05
ZEEBRUGGE,2019-06-27,9.58,35.51
ZEEBRUGGE,2019-06-28,6.63,45.51
ZEEBRUGGE,2019-06-29,4.31,124.50
ZEEBRUGGE,2019-06-30,6.51,246.84
ZEEBRUGGE,2019-07-01,5.44,273.69
ZEEBRUGGE,2019-07-02,6.23,2.20
ZEEBRUGGE,2019-07-03,7.78,25.60
ZEEBRUGGE,2019-07-04,4.44,32.87
ZEEBRUGGE,2019-07-05,3.33,308.02
ZEEBRUGGE,2019-07-06,4.67,337.07
ZEEBRUGGE,2019-07-07,4.91,11.13
ZEEBRUGGE,2019-07-08,5.18,352.72
ZEEBRUGGE,2019-07-09,3.40,39.98
ZEEBRUGGE,2019-07-10,3.70,201.65
ZEEBRUGGE,2019-07-11,4.36,242.73
ZEEBRUGGE,2019-07-12,5.15,294.63
ZEEBRUGGE,2019-07-13,7.72,340.19
ZEEBRUGGE,2019-07-14,7.84,8.45
ZEEBRUGGE,2019-07-15,5.52,357.61
ZEEBRUGGE,2019-07-16,3.32,324.70
ZEEBRUGGE,2019-07-17,3.19,57.60
