name,day_hour,wind_direction,wind_speed
BEITEM,2019-02-23 18,99.1,2.045
BEITEM,2019-02-23 19,105.4,2
BEITEM,2019-02-23 20,82.3,1
BEITEM,2019-02-23 21,117.7,1.348
BEITEM,2019-02-23 22,119.3,1.475
BEITEM,2019-02-23 23,98.2,1.187
BEITEM,2019-02-24 00,112.9,1.548
BEITEM,2019-02-24 01,108.8,1.663
BEITEM,2019-02-24 02,96.1,1.285
BEITEM,2019-02-24 03,98.5,1.093
BEITEM,2019-02-24 04,348,1
BEITEM,2019-02-24 05,75,1
BEITEM,2019-02-24 06,291.2,1.113
BEITEM,2019-02-24 07,86.3,1
BEITEM,2019-02-24 08,73.4,1
BEITEM,2019-02-24 09,116.8,1.521
BEITEM,2019-02-24 10,53.5,1.278
BEITEM,2019-02-24 11,6.8,1
BEITEM,2019-02-24 12,99.2,1
BEITEM,2019-02-24 13,139.8,1.91
BEITEM,2019-02-24 14,95.5,2.142
BEITEM,2019-02-24 15,108.4,2.746
BEITEM,2019-02-24 16,114.3,1.848
BEITEM,2019-02-24 17,85,1.727
BEITEM,2019-02-24 18,42.4,1.709
BEITEM,2019-02-24 19,58.5,1.491
BEITEM,2019-02-24 20,66.4,1.225
BEITEM,2019-02-24 21,51.3,1
BEITEM,2019-02-24 22,48,1.175
BEITEM,2019-02-24 23,86.3,1
BEITEM,2019-02-25 00,59.5,1.407
BEITEM,2019-02-25 01,83.1,1.219
BEITEM,2019-02-25 02,0,0
BEITEM,2019-02-25 03,83.5,1
BEITEM,2019-02-25 04,326.4,1
BEITEM,2019-02-25 05,34.4,1
BEITEM,2019-02-25 06,123.4,1.149
BEITEM,2019-02-25 07,0,0
BEITEM,2019-02-25 08,221.9,1.492
BEITEM,2019-02-25 09,81.8,1.833
BEITEM,2019-02-25 10,146.9,1.452
BEITEM,2019-02-25 11,84.6,1.325
BEITEM,2019-02-25 12,94,1.526
BEITEM,2019-02-25 13,73.5,1.268
BEITEM,2019-02-25 14,129.3,2.258
BEITEM,2019-02-25 15,96.4,1.542
BEITEM,2019-02-25 16,105.3,1
BEITEM,2019-02-25 17,52.4,1.681
BEITEM,2019-02-25 18,15.9,2.015
BEITEM,2019-02-25 19,59.7,1
BEITEM,2019-02-25 20,48.7,1.559
BEITEM,2019-02-25 21,60.2,1.225
BEITEM,2019-02-25 22,87.9,1.003
BEITEM,2019-02-25 23,282.6,1
BEITEM,2019-02-26 00,342.5,1
BEITEM,2019-02-26 01,7.1,1
BEITEM,2019-02-26 02,0,0
BEITEM,2019-02-26 03,0,0
BEITEM,2019-02-26 04,4,1.023
BEITEM,2019-02-26 05,68.8,1.05
BEITEM,2019-02-26 06,0,0
BEITEM,2019-02-26 07,30.3,1
BEITEM,2019-02-26 08,103.3,1.058
BEITEM,2019-02-26 09,88.1,1.008
BEITEM,2019-02-26 10,80.7,1.646
BEITEM,2019-02-26 11,151.1,2.069
BEITEM,2019-02-26 12,163.7,2.051
BEITEM,2019-02-26 13,143,2.285
BEITEM,2019-02-26 14,128.6,2.606
BEITEM,2019-02-26 15,112.3,2.13
BEITEM,2019-02-26 16,83.7,2.314
BEITEM,2019-02-26 17,70.1,1.491
BEITEM,2019-02-26 18,56.4,1.543
BEITEM,2019-02-26 19,45.1,1
BEITEM,2019-02-26 20,28.9,1.003
BEITEM,2019-02-26 21,66.5,1.647
BEITEM,2019-02-26 22,59.8,1.442
BEITEM,2019-02-26 23,63.8,1
BEITEM,2019-02-27 00,62.7,1.039
BEITEM,2019-02-27 01,66.3,1
BEITEM,2019-02-27 02,61.9,1
BEITEM,2019-02-27 03,205,1
BEITEM,2019-02-27 04,178.3,1
BEITEM,2019-02-27 05,176.8,1.209
BEITEM,2019-02-27 06,149.4,1.073
BEITEM,2019-02-27 07,206.8,1.231
BEITEM,2019-02-27 08,181.9,1.961
BEITEM,2019-02-27 09,181.2,2.387
BEITEM,2019-02-27 10,211.7,2.192
BEITEM,2019-02-27 11,184.4,3.516
BEITEM,2019-02-27 12,205.6,2.389
BEITEM,2019-02-27 13,230,2.772
BEITEM,2019-02-27 14,219.7,2.351
BEITEM,2019-02-27 15,225.6,2.753
BEITEM,2019-02-27 16,227.6,2.161
BEITEM,2019-02-27 17,286.5,1.929
BEITEM,2019-02-27 18,248.9,1.67
BEITEM,2019-02-27 19,301.3,1.169
BEITEM,2019-02-27 20,244.6,1.228
BEITEM,2019-02-27 21,242.8,1.796
BEITEM,2019-02-27 22,220.1,1.953
BEITEM,2019-02-27 23,188.2,1.45
BEITEM,2019-02-28 00,207.5,1.284
BEITEM,2019-02-28 01,237.1,1
BEITEM,2019-02-28 02,212.8,3.894
BEITEM,2019-02-28 03,209.6,2.608
BEITEM,2019-02-28 04,206.6,1
BEITEM,2019-02-28 05,202.6,1.679
BEITEM,2019-02-28 06,216.1,3.238
BEITEM,2019-02-28 07,204.9,3.192
BEITEM,2019-02-28 08,242.5,4.193
BEITEM,2019-02-28 09,263.8,5.626
BEITEM,2019-02-28 10,261.7,6.573
BEITEM,2019-02-28 11,261.3,7.853
BEITEM,2019-02-28 12,241.3,6.718
BEITEM,2019-02-28 13,245,6.58
BEITEM,2019-02-28 14,240.5,6.111
BEITEM,2019-02-28 15,246.3,6.747
BEITEM,2019-02-28 16,236,6.138
BEITEM,2019-02-28 17,220.8,3.841
BEITEM,2019-02-28 18,231.4,5.635
BEITEM,2019-02-28 19,235.3,4.763
BEITEM,2019-02-28 20,230.3,4.119
BEITEM,2019-02-28 21,238.4,5.498
BEITEM,2019-02-28 22,240.9,4.934
BEITEM,2019-02-28 23,257.6,4.927
BEITEM,2019-03-01 00,263.7,4.37
BEITEM,2019-03-01 01,268.4,4.614
BEITEM,2019-03-01 02,278.2,4.827
BEITEM,2019-03-01 03,287.9,3.946
BEITEM,2019-03-01 04,334,5.978
BEITEM,2019-03-01 05,327.4,5.818
BEITEM,2019-03-01 06,333.6,7.132
BEITEM,2019-03-01 07,323.1,6.017
BEITEM,2019-03-01 08,325.5,5.713
BEITEM,2019-03-01 09,336,5.922
BEITEM,2019-03-01 10,353,4.72
BEITEM,2019-03-01 11,340.8,3.866
BEITEM,2019-03-01 12,333.7,3.746
BEITEM,2019-03-01 13,325.7,4.358
BEITEM,2019-03-01 14,319.9,4.296
BEITEM,2019-03-01 15,313.3,3.548
BEITEM,2019-03-01 16,310.2,2.386
BEITEM,2019-03-01 17,302.9,2.221
BEITEM,2019-03-01 18,297.3,1.432
BEITEM,2019-03-01 19,248.9,1
BEITEM,2019-03-01 20,205.8,1.113
BEITEM,2019-03-01 21,187.5,1.213
BEITEM,2019-03-01 22,194.8,2.22
BEITEM,2019-03-01 23,186.8,2.22
BEITEM,2019-03-02 00,180,2.572
BEITEM,2019-03-02 01,193.6,2.695
BEITEM,2019-03-02 02,209.7,2.859
BEITEM,2019-03-02 03,191.2,3.131
BEITEM,2019-03-02 04,189.5,3.026
BEITEM,2019-03-02 05,176.9,2.469
BEITEM,2019-03-02 06,163.4,2.547
BEITEM,2019-03-02 07,166.8,2.484
BEITEM,2019-03-02 08,197.5,3.386
BEITEM,2019-03-02 09,187.6,4.073
BEITEM,2019-03-02 10,189.6,4.966
BEITEM,2019-03-02 11,192.8,4.982
BEITEM,2019-03-02 12,204.8,4.975
BEITEM,2019-03-02 13,225.9,5.03
BEITEM,2019-03-02 14,257.1,5.704
BEITEM,2019-03-02 15,242.7,5.487
BEITEM,2019-03-02 16,244.2,7.223
BEITEM,2019-03-02 17,230.8,6.435
BEITEM,2019-03-02 18,235.6,6.402
BEITEM,2019-03-02 19,233.2,6.07
BEITEM,2019-03-02 20,215.5,5.314
BEITEM,2019-03-02 21,190.7,5.405
BEITEM,2019-03-02 22,199.7,6.145
BEITEM,2019-03-02 23,204.2,6.615
BEITEM,2019-03-03 00,208.9,6.201
BEITEM,2019-03-03 01,205.2,5.611
BEITEM,2019-03-03 02,212.3,6.631
BEITEM,2019-03-03 03,207.2,6.916
BEITEM,2019-03-03 04,211.7,6.333
BEITEM,2019-03-03 05,214.1,6.458
BEITEM,2019-03-03 06,213,7.109
BEITEM,2019-03-03 07,209,6.703
BEITEM,2019-03-03 08,214,6.235
BEITEM,2019-03-03 09,205,6.458
BEITEM,2019-03-03 10,205.2,7.099
BEITEM,2019-03-03 11,210.4,6.75
BEITEM,2019-03-03 12,213.3,6.771
BEITEM,2019-03-03 13,211.2,7.677
BEITEM,2019-03-03 14,209.4,6.68
BEITEM,2019-03-03 15,211.7,7.246
BEITEM,2019-03-03 16,198.5,6.984
BEITEM,2019-03-03 17,192.2,7.291
BEITEM,2019-03-03 18,201.8,9.003
BEITEM,2019-03-03 19,208.3,10.231
BEITEM,2019-03-03 20,203.2,9.547
BEITEM,2019-03-03 21,207.6,10.27
BEITEM,2019-03-03 22,203.1,10.288
BEITEM,2019-03-03 23,204,9.122
BEITEM,2019-03-04 00,201.9,8.542
BEITEM,2019-03-04 01,205.2,10.002
BEITEM,2019-03-04 02,203.8,10.447
BEITEM,2019-03-04 03,207.4,11.085
BEITEM,2019-03-04 04,210.5,10.826
BEITEM,2019-03-04 05,253.5,11.031
BEITEM,2019-03-04 06,231.5,10.368
BEITEM,2019-03-04 07,231,11.056
BEITEM,2019-03-04 08,232.4,9.681
BEITEM,2019-03-04 09,283.6,5.144
BEITEM,2019-03-04 10,267.9,6.078
BEITEM,2019-03-04 11,275.8,7.342
BEITEM,2019-03-04 12,263.5,8.003
BEITEM,2019-03-04 13,260.9,7.907
BEITEM,2019-03-04 14,257.6,8.036
BEITEM,2019-03-04 15,254.2,9.359
BEITEM,2019-03-04 16,245.5,8.107
BEITEM,2019-03-04 17,243,9.795
BEITEM,2019-03-04 18,237.3,5.17
BEITEM,2019-03-04 19,219.7,5.249
BEITEM,2019-03-04 20,243.2,6.101
BEITEM,2019-03-04 21,237.3,5.921
BEITEM,2019-03-04 22,220.9,5.443
BEITEM,2019-03-04 23,223.7,6.583
BEITEM,2019-03-05 00,219.1,5.111
BEITEM,2019-03-05 01,215.8,5.696
BEITEM,2019-03-05 02,219.6,6.831
BEITEM,2019-03-05 03,218.6,6.989
BEITEM,2019-03-05 04,218,7.727
BEITEM,2019-03-05 05,217.1,5.623
BEITEM,2019-03-05 06,212,6.043
BEITEM,2019-03-05 07,212.2,6.21
BEITEM,2019-03-05 08,211,5.037
BEITEM,2019-03-05 09,220.2,5.51
BEITEM,2019-03-05 10,231.7,6.133
BEITEM,2019-03-05 11,232.8,6.142
BEITEM,2019-03-05 12,225.5,6.921
BEITEM,2019-03-05 13,248.5,6.696
BEITEM,2019-03-05 14,250.5,5.777
BEITEM,2019-03-05 15,233.5,5.563
BEITEM,2019-03-05 16,224.5,4.955
BEITEM,2019-03-05 17,220.3,3.535
BEITEM,2019-03-05 18,206.4,3.387
BEITEM,2019-03-05 19,181.1,3.279
BEITEM,2019-03-05 20,188,3.728
BEITEM,2019-03-05 21,193.9,4.269
BEITEM,2019-03-05 22,172.1,3.493
BEITEM,2019-03-05 23,176.6,3.462
BEITEM,2019-03-06 00,187.6,4.305
BEITEM,2019-03-06 01,178.8,5.681
BEITEM,2019-03-06 02,165.5,3.381
BEITEM,2019-03-06 03,161.6,4.842
BEITEM,2019-03-06 04,169.6,4.435
BEITEM,2019-03-06 05,171.9,6.121
BEITEM,2019-03-06 06,169.8,5.216
BEITEM,2019-03-06 07,179,7.195
BEITEM,2019-03-06 08,181.9,6.168
BEITEM,2019-03-06 09,172.9,6.197
BEITEM,2019-03-06 10,175.9,6.108
BEITEM,2019-03-06 11,173.2,5.022
BEITEM,2019-03-06 12,183.8,5.711
BEITEM,2019-03-06 13,185.1,4.889
BEITEM,2019-03-06 14,181,4.991
BEITEM,2019-03-06 15,191.9,4.744
BEITEM,2019-03-06 16,191.9,6.58
BEITEM,2019-03-06 17,190.1,7.435
BEITEM,2019-03-06 18,186.8,7.916
BEITEM,2019-03-06 19,181.8,7.721
BEITEM,2019-03-06 20,188,6.866
BEITEM,2019-03-06 21,188.7,6.578
BEITEM,2019-03-06 22,185.7,5.799
BEITEM,2019-03-06 23,182.1,5.308
BEITEM,2019-03-07 00,182.5,5.052
BEITEM,2019-03-07 01,189.3,4.333
BEITEM,2019-03-07 02,194.3,4.027
BEITEM,2019-03-07 03,226.6,3.767
BEITEM,2019-03-07 04,264.2,8.22
BEITEM,2019-03-07 05,256.6,7.755
BEITEM,2019-03-07 06,247.8,6.799
BEITEM,2019-03-07 07,238.2,5.349
BEITEM,2019-03-07 08,217.6,5.21
BEITEM,2019-03-07 09,224.5,5.348
BEITEM,2019-03-07 10,227.1,7.863
BEITEM,2019-03-07 11,240.4,7.231
BEITEM,2019-03-07 12,236.9,8.73
BEITEM,2019-03-07 13,231.3,11.166
BEITEM,2019-03-07 14,230.3,10.669
BEITEM,2019-03-07 15,235.2,9.398
BEITEM,2019-03-07 16,235.7,10.544
BEITEM,2019-03-07 17,231.6,9.849
BEITEM,2019-03-07 18,229.6,9.189
BEITEM,2019-03-07 19,230.2,9.022
BEITEM,2019-03-07 20,239.3,9.616
BEITEM,2019-03-07 21,242.7,8.169
BEITEM,2019-03-07 22,246.7,8.089
BEITEM,2019-03-07 23,252.4,7.923
BEITEM,2019-03-08 00,254.1,6.928
BEITEM,2019-03-08 01,259.4,6.195
BEITEM,2019-03-08 02,262.8,5.781
BEITEM,2019-03-08 03,266,3.586
BEITEM,2019-03-08 04,268,3.708
BEITEM,2019-03-08 05,264.9,4.171
BEITEM,2019-03-08 06,278.8,4.152
BEITEM,2019-03-08 07,271.5,3.319
BEITEM,2019-03-08 08,283.6,3.826
BEITEM,2019-03-08 09,260.6,3.34
BEITEM,2019-03-08 10,271.9,4.019
BEITEM,2019-03-08 11,249.6,4.932
BEITEM,2019-03-08 12,237.6,4.914
BEITEM,2019-03-08 13,237.8,5.425
BEITEM,2019-03-08 14,233.2,7.183
BEITEM,2019-03-08 15,244.8,6.242
BEITEM,2019-03-08 16,239.6,5.59
BEITEM,2019-03-08 17,227.6,5.127
BEITEM,2019-03-08 18,226.4,4.218
BEITEM,2019-03-08 19,215.3,4.467
BEITEM,2019-03-08 20,204.1,3.49
BEITEM,2019-03-08 21,207.3,5.015
BEITEM,2019-03-08 22,202.8,6.356
BEITEM,2019-03-08 23,212.6,7.907
BEITEM,2019-03-09 00,214.3,8.66
BEITEM,2019-03-09 01,220.9,6.85
BEITEM,2019-03-09 02,235.8,5.458
BEITEM,2019-03-09 03,250.7,6.351
BEITEM,2019-03-09 04,262.5,5.49
BEITEM,2019-03-09 05,234.8,4.2
BEITEM,2019-03-09 06,260.4,5.384
BEITEM,2019-03-09 07,247.2,4.38
BEITEM,2019-03-09 08,215.6,4.818
BEITEM,2019-03-09 09,230.6,5.688
BEITEM,2019-03-09 10,226.5,6.66
BEITEM,2019-03-09 11,239.6,8.052
BEITEM,2019-03-09 12,250.4,8.435
BEITEM,2019-03-09 13,256.6,9.511
BEITEM,2019-03-09 14,256.3,11.084
BEITEM,2019-03-09 15,256.2,10.101
BEITEM,2019-03-09 16,259.6,8.942
BEITEM,2019-03-09 17,262.8,7.545
BEITEM,2019-03-09 18,263.4,7.313
BEITEM,2019-03-09 19,259.5,5.555
BEITEM,2019-03-09 20,256.5,5.428
BEITEM,2019-03-09 21,254.2,4.849
BEITEM,2019-03-09 22,249.7,4.263
BEITEM,2019-03-09 23,213.4,3.376
BEITEM,2019-03-10 00,195.7,2.817
BEITEM,2019-03-10 01,204.4,3.295
BEITEM,2019-03-10 02,170.5,2.018
BEITEM,2019-03-10 03,163.4,2.125
BEITEM,2019-03-10 04,193,1.653
BEITEM,2019-03-10 05,148.1,2.993
BEITEM,2019-03-10 06,232.8,6.415
BEITEM,2019-03-10 07,248.7,8.07
BEITEM,2019-03-10 08,249,9.725
BEITEM,2019-03-10 09,237.1,10.63
BEITEM,2019-03-10 10,249.8,13.272
BEITEM,2019-03-10 11,264.1,13.511
BEITEM,2019-03-10 12,279.6,17.113
BEITEM,2019-03-10 13,277.6,12.421
BEITEM,2019-03-10 14,273.2,11.196
BEITEM,2019-03-10 15,301.5,11.266
BEITEM,2019-03-10 16,286.2,9.915
BEITEM,2019-03-10 17,266.7,7.625
BEITEM,2019-03-10 18,257.4,7.536
BEITEM,2019-03-10 19,260,9.034
BEITEM,2019-03-10 20,261,7.35
BEITEM,2019-03-10 21,256.5,5.684
BEITEM,2019-03-10 22,283.3,7.802
BEITEM,2019-03-10 23,264.1,3.766
BEITEM,2019-03-11 00,272.7,7.219
BEITEM,2019-03-11 01,270.4,7.154
BEITEM,2019-03-11 02,269.1,7.747
BEITEM,2019-03-11 03,266.1,6.922
BEITEM,2019-03-11 04,263.6,6.365
BEITEM,2019-03-11 05,261.2,5.637
BEITEM,2019-03-11 06,272.3,6.459
BEITEM,2019-03-11 07,270.9,6.512
BEITEM,2019-03-11 08,286.2,7.413
BEITEM,2019-03-11 09,288.2,8.276
BEITEM,2019-03-11 10,295.8,9.41
BEITEM,2019-03-11 11,296,8.84
BEITEM,2019-03-11 12,297.1,9.795
BEITEM,2019-03-11 13,290.3,10.018
BEITEM,2019-03-11 14,297,8.478
BEITEM,2019-03-11 15,291.8,9.927
BEITEM,2019-03-11 16,303.4,8.91
BEITEM,2019-03-11 17,297.3,5.463
BEITEM,2019-03-11 18,293.2,3.427
BEITEM,2019-03-11 19,222.1,2.113
BEITEM,2019-03-11 20,217.5,3.361
BEITEM,2019-03-11 21,210.3,2.693
BEITEM,2019-03-11 22,206.7,3.572
BEITEM,2019-03-11 23,205.7,3.613
BEITEM,2019-03-12 00,205.9,3.529
BEITEM,2019-03-12 01,204.4,4.096
BEITEM,2019-03-12 02,198.5,4.385
BEITEM,2019-03-12 03,197.3,4.649
BEITEM,2019-03-12 04,192.3,6.24
BEITEM,2019-03-12 05,196,6.311
BEITEM,2019-03-12 06,198.1,7.687
BEITEM,2019-03-12 07,200.1,7.597
BEITEM,2019-03-12 08,198.3,7.119
BEITEM,2019-03-12 09,201.8,8.677
BEITEM,2019-03-12 10,199.1,9.364
BEITEM,2019-03-12 11,197.2,9.294
BEITEM,2019-03-12 12,200.2,10.39
BEITEM,2019-03-12 13,190.1,9.841
BEITEM,2019-03-12 14,200.8,11.278
BEITEM,2019-03-12 15,200.5,10.268
